timestamp,device,direction,data
2026-04-30T12:10:16.358,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T12:10:16.359,PACE5000Fake,RX,ok
2026-04-30T12:10:16.415,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:16.416,RelayFake,RX,ok
2026-04-30T12:10:16.417,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:16.420,RelayFake,RX,ok
2026-04-30T12:10:16.425,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:16.426,RelayFake,RX,ok
2026-04-30T12:10:16.429,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:10:16.431,RelayFake,RX,ok
2026-04-30T12:10:16.432,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:10:16.434,RelayFake,RX,ok
2026-04-30T12:10:16.434,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:10:16.439,RelayFake,RX,ok
2026-04-30T12:10:16.442,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:10:16.443,RelayFake,RX,ok
2026-04-30T12:10:16.446,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:16.447,RelayFake,RX,ok
2026-04-30T12:10:16.449,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:10:16.450,RelayFake,RX,ok
2026-04-30T12:10:16.451,RelayFake,TX,"set_valve(10, False)"
2026-04-30T12:10:16.456,RelayFake,RX,ok
2026-04-30T12:10:16.458,RelayFake,TX,"set_valve(11, False)"
2026-04-30T12:10:16.460,RelayFake,RX,ok
2026-04-30T12:10:16.462,RelayFake,TX,"set_valve(12, False)"
2026-04-30T12:10:16.464,RelayFake,RX,ok
2026-04-30T12:10:16.465,RelayFake,TX,"set_valve(15, False)"
2026-04-30T12:10:16.466,RelayFake,RX,ok
2026-04-30T12:10:16.467,RelayFake,TX,"set_valve(16, False)"
2026-04-30T12:10:16.468,RelayFake,RX,ok
2026-04-30T12:10:16.473,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:16.475,RelayFake,RX,ok
2026-04-30T12:10:16.477,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:16.479,RelayFake,RX,ok
2026-04-30T12:10:16.481,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:16.482,RelayFake,RX,ok
2026-04-30T12:10:16.483,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:16.484,RelayFake,RX,ok
2026-04-30T12:10:16.491,PACE5000Fake,TX,set_output(False)
2026-04-30T12:10:16.493,PACE5000Fake,RX,ok
2026-04-30T12:10:16.495,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:10:16.496,PACE5000Fake,RX,ok
2026-04-30T12:10:16.498,PACE5000Fake,TX,vent(True)
2026-04-30T12:10:16.499,PACE5000Fake,RX,ok
2026-04-30T12:10:16.501,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T12:10:16.507,GRZ5013Fake,RX,ok
2026-04-30T12:10:16.509,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T12:10:16.512,GRZ5013Fake,RX,ok
2026-04-30T12:10:16.514,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T12:10:16.516,TemperatureChamberFake,RX,ok
2026-04-30T12:10:16.517,TemperatureChamberFake,TX,start()
2026-04-30T12:10:16.519,TemperatureChamberFake,RX,ok
2026-04-30T12:10:18.661,PACE5000Fake,TX,set_output(False)
2026-04-30T12:10:18.664,PACE5000Fake,RX,ok
2026-04-30T12:10:18.666,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:10:18.670,PACE5000Fake,RX,ok
2026-04-30T12:10:18.677,PACE5000Fake,TX,vent(True)
2026-04-30T12:10:18.680,PACE5000Fake,RX,ok
2026-04-30T12:10:18.684,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:18.691,RelayFake,RX,ok
2026-04-30T12:10:18.696,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:18.698,RelayFake,RX,ok
2026-04-30T12:10:18.700,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:18.703,RelayFake,RX,ok
2026-04-30T12:10:18.709,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:10:18.713,RelayFake,RX,ok
2026-04-30T12:10:18.715,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:10:18.717,RelayFake,RX,ok
2026-04-30T12:10:18.722,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:10:18.728,RelayFake,RX,ok
2026-04-30T12:10:18.731,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:10:18.733,RelayFake,RX,ok
2026-04-30T12:10:18.735,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:18.744,RelayFake,RX,ok
2026-04-30T12:10:18.747,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:10:18.749,RelayFake,RX,ok
2026-04-30T12:10:18.751,RelayFake,TX,"set_valve(10, False)"
2026-04-30T12:10:18.759,RelayFake,RX,ok
2026-04-30T12:10:18.763,RelayFake,TX,"set_valve(11, False)"
2026-04-30T12:10:18.765,RelayFake,RX,ok
2026-04-30T12:10:18.767,RelayFake,TX,"set_valve(12, False)"
2026-04-30T12:10:18.774,RelayFake,RX,ok
2026-04-30T12:10:18.781,RelayFake,TX,"set_valve(15, False)"
2026-04-30T12:10:18.783,RelayFake,RX,ok
2026-04-30T12:10:18.784,RelayFake,TX,"set_valve(16, False)"
2026-04-30T12:10:18.791,RelayFake,RX,ok
2026-04-30T12:10:18.796,RelayFake,TX,"set_valve(1, True)"
2026-04-30T12:10:18.798,RelayFake,RX,ok
2026-04-30T12:10:18.800,RelayFake,TX,"set_valve(2, True)"
2026-04-30T12:10:18.805,RelayFake,RX,ok
2026-04-30T12:10:18.809,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:18.811,RelayFake,RX,ok
2026-04-30T12:10:18.814,RelayFake,TX,"set_valve(8, True)"
2026-04-30T12:10:18.815,RelayFake,RX,ok
2026-04-30T12:10:19.482,pressure_controller,TX,exit_atmosphere_mode(vent_on=False)
2026-04-30T12:10:19.735,pressure_controller,RX,ok
2026-04-30T12:10:19.743,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:19.746,RelayFake,RX,ok
2026-04-30T12:10:19.747,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:19.748,RelayFake,RX,ok
2026-04-30T12:10:19.750,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:19.751,RelayFake,RX,ok
2026-04-30T12:10:19.757,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:10:19.759,RelayFake,RX,ok
2026-04-30T12:10:19.763,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:10:19.765,RelayFake,RX,ok
2026-04-30T12:10:19.767,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:10:19.769,RelayFake,RX,ok
2026-04-30T12:10:19.774,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:10:19.776,RelayFake,RX,ok
2026-04-30T12:10:19.779,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:19.781,RelayFake,RX,ok
2026-04-30T12:10:19.782,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:10:19.784,RelayFake,RX,ok
2026-04-30T12:10:19.788,RelayFake,TX,"set_valve(10, False)"
