timestamp,device,direction,data
2026-04-30T12:10:48.422,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T12:10:48.424,PACE5000Fake,RX,ok
2026-04-30T12:10:48.483,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:48.484,RelayFake,RX,ok
2026-04-30T12:10:48.486,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:48.487,RelayFake,RX,ok
2026-04-30T12:10:48.488,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:48.492,RelayFake,RX,ok
2026-04-30T12:10:48.495,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:10:48.497,RelayFake,RX,ok
2026-04-30T12:10:48.498,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:10:48.499,RelayFake,RX,ok
2026-04-30T12:10:48.501,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:10:48.505,RelayFake,RX,ok
2026-04-30T12:10:48.510,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:10:48.512,RelayFake,RX,ok
2026-04-30T12:10:48.514,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:48.515,RelayFake,RX,ok
2026-04-30T12:10:48.516,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:10:48.517,RelayFake,RX,ok
2026-04-30T12:10:48.520,RelayFake,TX,"set_valve(10, False)"
2026-04-30T12:10:48.526,RelayFake,RX,ok
2026-04-30T12:10:48.530,RelayFake,TX,"set_valve(11, False)"
2026-04-30T12:10:48.532,RelayFake,RX,ok
2026-04-30T12:10:48.534,RelayFake,TX,"set_valve(12, False)"
2026-04-30T12:10:48.537,RelayFake,RX,ok
2026-04-30T12:10:48.545,RelayFake,TX,"set_valve(15, False)"
2026-04-30T12:10:48.547,RelayFake,RX,ok
2026-04-30T12:10:48.549,RelayFake,TX,"set_valve(16, False)"
2026-04-30T12:10:48.550,RelayFake,RX,ok
2026-04-30T12:10:48.558,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:48.565,RelayFake,RX,ok
2026-04-30T12:10:48.569,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:48.571,RelayFake,RX,ok
2026-04-30T12:10:48.573,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:48.577,RelayFake,RX,ok
2026-04-30T12:10:48.583,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:48.586,RelayFake,RX,ok
2026-04-30T12:10:48.599,PACE5000Fake,TX,set_output(False)
2026-04-30T12:10:48.602,PACE5000Fake,RX,ok
2026-04-30T12:10:48.606,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:10:48.616,PACE5000Fake,RX,ok
2026-04-30T12:10:48.623,PACE5000Fake,TX,vent(True)
2026-04-30T12:10:48.631,PACE5000Fake,RX,ok
2026-04-30T12:10:48.639,GRZ5013Fake,TX,set_target_temp(20.0)
2026-04-30T12:10:48.648,GRZ5013Fake,RX,ok
2026-04-30T12:10:48.656,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T12:10:48.666,GRZ5013Fake,RX,ok
2026-04-30T12:10:48.683,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T12:10:48.690,TemperatureChamberFake,RX,ok
2026-04-30T12:10:48.701,TemperatureChamberFake,TX,start()
2026-04-30T12:10:48.708,TemperatureChamberFake,RX,ok
2026-04-30T12:10:49.841,PACE5000Fake,TX,set_output(False)
2026-04-30T12:10:49.843,PACE5000Fake,RX,ok
2026-04-30T12:10:49.845,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:10:49.847,PACE5000Fake,RX,ok
2026-04-30T12:10:49.848,PACE5000Fake,TX,vent(True)
2026-04-30T12:10:49.849,PACE5000Fake,RX,ok
2026-04-30T12:10:49.855,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:49.859,RelayFake,RX,ok
2026-04-30T12:10:49.860,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:49.862,RelayFake,RX,ok
2026-04-30T12:10:49.863,RelayFake,TX,"set_valve(3, False)"
