timestamp,device,direction,data
2026-04-30T12:10:57.634,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T12:10:57.637,PACE5000Fake,RX,ok
2026-04-30T12:10:57.695,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:57.696,RelayFake,RX,ok
2026-04-30T12:10:57.697,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:57.698,RelayFake,RX,ok
2026-04-30T12:10:57.699,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:57.700,RelayFake,RX,ok
2026-04-30T12:10:57.701,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:10:57.704,RelayFake,RX,ok
2026-04-30T12:10:57.708,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:10:57.709,RelayFake,RX,ok
2026-04-30T12:10:57.712,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:10:57.713,RelayFake,RX,ok
2026-04-30T12:10:57.714,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:10:57.715,RelayFake,RX,ok
2026-04-30T12:10:57.716,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:10:57.717,RelayFake,RX,ok
2026-04-30T12:10:57.718,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:10:57.724,RelayFake,RX,ok
2026-04-30T12:10:57.726,RelayFake,TX,"set_valve(10, False)"
2026-04-30T12:10:57.728,RelayFake,RX,ok
2026-04-30T12:10:57.730,RelayFake,TX,"set_valve(11, False)"
2026-04-30T12:10:57.731,RelayFake,RX,ok
2026-04-30T12:10:57.732,RelayFake,TX,"set_valve(12, False)"
2026-04-30T12:10:57.733,RelayFake,RX,ok
2026-04-30T12:10:57.734,RelayFake,TX,"set_valve(15, False)"
2026-04-30T12:10:57.738,RelayFake,RX,ok
2026-04-30T12:10:57.743,RelayFake,TX,"set_valve(16, False)"
2026-04-30T12:10:57.746,RelayFake,RX,ok
2026-04-30T12:10:57.747,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:10:57.748,RelayFake,RX,ok
2026-04-30T12:10:57.750,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:10:57.751,RelayFake,RX,ok
2026-04-30T12:10:57.754,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:10:57.759,RelayFake,RX,ok
2026-04-30T12:10:57.760,RelayFake,TX,"set_valve(8, False)"
