timestamp,device,direction,data
2026-04-30T12:29:20.522,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T12:29:20.525,PACE5000Fake,RX,ok
2026-04-30T12:29:20.583,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:29:20.584,RelayFake,RX,ok
2026-04-30T12:29:20.587,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:29:20.592,RelayFake,RX,ok
2026-04-30T12:29:20.593,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:29:20.594,RelayFake,RX,ok
2026-04-30T12:29:20.596,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:29:20.598,RelayFake,RX,ok
2026-04-30T12:29:20.599,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:29:20.600,RelayFake,RX,ok
2026-04-30T12:29:20.601,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:29:20.605,RelayFake,RX,ok
2026-04-30T12:29:20.608,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:29:20.609,RelayFake,RX,ok
2026-04-30T12:29:20.611,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:29:20.613,RelayFake,RX,ok
2026-04-30T12:29:20.614,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:29:20.615,RelayFake,RX,ok
2026-04-30T12:29:20.616,RelayFake,TX,"set_valve(10, False)"
2026-04-30T12:29:20.617,RelayFake,RX,ok
2026-04-30T12:29:20.620,RelayFake,TX,"set_valve(11, False)"
2026-04-30T12:29:20.625,RelayFake,RX,ok
2026-04-30T12:29:20.627,RelayFake,TX,"set_valve(12, False)"
2026-04-30T12:29:20.629,RelayFake,RX,ok
2026-04-30T12:29:20.631,RelayFake,TX,"set_valve(15, False)"
2026-04-30T12:29:20.633,RelayFake,RX,ok
2026-04-30T12:29:20.634,RelayFake,TX,"set_valve(16, False)"
2026-04-30T12:29:20.635,RelayFake,RX,ok
2026-04-30T12:29:20.640,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:29:20.642,RelayFake,RX,ok
2026-04-30T12:29:20.643,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:29:20.646,RelayFake,RX,ok
2026-04-30T12:29:20.647,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:29:20.648,RelayFake,RX,ok
2026-04-30T12:29:20.649,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:29:20.650,RelayFake,RX,ok
2026-04-30T12:29:20.656,PACE5000Fake,TX,set_output(False)
2026-04-30T12:29:20.658,PACE5000Fake,RX,ok
2026-04-30T12:29:20.660,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:29:20.661,PACE5000Fake,RX,ok
2026-04-30T12:29:20.664,PACE5000Fake,TX,vent(True)
2026-04-30T12:29:20.666,PACE5000Fake,RX,ok
2026-04-30T12:29:20.674,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T12:29:20.677,GRZ5013Fake,RX,ok
2026-04-30T12:29:20.679,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T12:29:20.682,GRZ5013Fake,RX,ok
2026-04-30T12:29:20.684,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T12:29:20.685,TemperatureChamberFake,RX,ok
2026-04-30T12:29:20.691,TemperatureChamberFake,TX,start()
2026-04-30T12:29:20.693,TemperatureChamberFake,RX,ok
