timestamp,device,direction,data
2026-04-30T12:30:01.536,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T12:30:01.542,PACE5000Fake,RX,ok
2026-04-30T12:30:01.597,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:30:01.599,RelayFake,RX,ok
2026-04-30T12:30:01.601,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:30:01.603,RelayFake,RX,ok
2026-04-30T12:30:01.608,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:30:01.609,RelayFake,RX,ok
2026-04-30T12:30:01.610,RelayFake,TX,"set_valve(4, False)"
2026-04-30T12:30:01.611,RelayFake,RX,ok
2026-04-30T12:30:01.613,RelayFake,TX,"set_valve(5, False)"
2026-04-30T12:30:01.615,RelayFake,RX,ok
2026-04-30T12:30:01.616,RelayFake,TX,"set_valve(6, False)"
2026-04-30T12:30:01.617,RelayFake,RX,ok
2026-04-30T12:30:01.618,RelayFake,TX,"set_valve(7, False)"
2026-04-30T12:30:01.624,RelayFake,RX,ok
2026-04-30T12:30:01.626,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:30:01.627,RelayFake,RX,ok
2026-04-30T12:30:01.630,RelayFake,TX,"set_valve(9, False)"
2026-04-30T12:30:01.632,RelayFake,RX,ok
2026-04-30T12:30:01.633,RelayFake,TX,"set_valve(10, False)"
2026-04-30T12:30:01.634,RelayFake,RX,ok
2026-04-30T12:30:01.635,RelayFake,TX,"set_valve(11, False)"
2026-04-30T12:30:01.641,RelayFake,RX,ok
2026-04-30T12:30:01.642,RelayFake,TX,"set_valve(12, False)"
2026-04-30T12:30:01.644,RelayFake,RX,ok
2026-04-30T12:30:01.645,RelayFake,TX,"set_valve(15, False)"
2026-04-30T12:30:01.647,RelayFake,RX,ok
2026-04-30T12:30:01.648,RelayFake,TX,"set_valve(16, False)"
2026-04-30T12:30:01.650,RelayFake,RX,ok
2026-04-30T12:30:01.651,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:30:01.653,RelayFake,RX,ok
2026-04-30T12:30:01.658,RelayFake,TX,"set_valve(2, False)"
2026-04-30T12:30:01.660,RelayFake,RX,ok
2026-04-30T12:30:01.661,RelayFake,TX,"set_valve(3, False)"
2026-04-30T12:30:01.663,RelayFake,RX,ok
2026-04-30T12:30:01.665,RelayFake,TX,"set_valve(8, False)"
2026-04-30T12:30:01.666,RelayFake,RX,ok
2026-04-30T12:30:01.668,PACE5000Fake,TX,set_output(False)
2026-04-30T12:30:01.673,PACE5000Fake,RX,ok
2026-04-30T12:30:01.675,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:30:01.677,PACE5000Fake,RX,ok
2026-04-30T12:30:01.678,PACE5000Fake,TX,vent(True)
2026-04-30T12:30:01.680,PACE5000Fake,RX,ok
2026-04-30T12:30:01.683,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T12:30:01.684,GRZ5013Fake,RX,ok
2026-04-30T12:30:01.686,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T12:30:01.691,GRZ5013Fake,RX,ok
2026-04-30T12:30:01.693,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T12:30:01.695,TemperatureChamberFake,RX,ok
2026-04-30T12:30:01.698,TemperatureChamberFake,TX,start()
2026-04-30T12:30:01.699,TemperatureChamberFake,RX,ok
2026-04-30T12:30:03.832,PACE5000Fake,TX,set_output(False)
2026-04-30T12:30:03.833,PACE5000Fake,RX,ok
2026-04-30T12:30:03.835,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T12:30:03.841,PACE5000Fake,RX,ok
2026-04-30T12:30:03.843,PACE5000Fake,TX,vent(True)
2026-04-30T12:30:03.844,PACE5000Fake,RX,ok
2026-04-30T12:30:03.848,RelayFake,TX,"set_valve(1, False)"
2026-04-30T12:30:03.849,RelayFake,RX,ok
