timestamp,point_index,point_tag,temperature_c,co2_ppm,co2_group,cylinder_nominal_ppm,humidity_pct,pressure_hpa,route,status,stability_time_s,total_time_s
2026-04-30T14:59:01.911,3,h2o_10c_30rh_1100hpa,10.0,,,,30.0,1100.0,h2o,completed,,
2026-04-30T14:59:01.915,1,h2o_10c_30rh_1000hpa,10.0,,,,30.0,1000.0,h2o,completed,,
2026-04-30T14:59:01.919,2,h2o_10c_30rh_800hpa,10.0,,,,30.0,800.0,h2o,completed,,
2026-04-30T14:59:01.922,5,h2o_10c_30rh_600hpa,10.0,,,,30.0,600.0,h2o,completed,,
2026-04-30T14:59:05.138,3,h2o_10c_50rh_1100hpa,10.0,,,,50.0,1100.0,h2o,completed,,
2026-04-30T14:59:05.139,1,h2o_10c_50rh_1000hpa,10.0,,,,50.0,1000.0,h2o,completed,,
2026-04-30T14:59:05.141,2,h2o_10c_50rh_800hpa,10.0,,,,50.0,800.0,h2o,completed,,
2026-04-30T14:59:05.142,5,h2o_10c_50rh_600hpa,10.0,,,,50.0,600.0,h2o,completed,,
2026-04-30T14:59:06.753,3,co2_groupa_0ppm_1100hpa,10.0,0.0,A,0.0,,1100.0,co2,completed,,
2026-04-30T14:59:06.757,1,co2_groupa_0ppm_1000hpa,10.0,0.0,A,0.0,,1000.0,co2,completed,,
2026-04-30T14:59:06.758,2,co2_groupa_0ppm_800hpa,10.0,0.0,A,0.0,,800.0,co2,completed,,
2026-04-30T14:59:06.759,5,co2_groupa_0ppm_600hpa,10.0,0.0,A,0.0,,600.0,co2,completed,,
2026-04-30T14:59:08.154,3,co2_groupa_100ppm_1100hpa,10.0,100.0,A,100.0,,1100.0,co2,completed,,
2026-04-30T14:59:08.155,1,co2_groupa_100ppm_1000hpa,10.0,100.0,A,100.0,,1000.0,co2,completed,,
2026-04-30T14:59:08.156,2,co2_groupa_100ppm_800hpa,10.0,100.0,A,100.0,,800.0,co2,completed,,
2026-04-30T14:59:08.157,5,co2_groupa_100ppm_600hpa,10.0,100.0,A,100.0,,600.0,co2,completed,,
2026-04-30T14:59:09.921,3,co2_groupb_1000ppm_1100hpa,10.0,1000.0,B,1000.0,,1100.0,co2,completed,,
2026-04-30T14:59:09.923,1,co2_groupb_1000ppm_1000hpa,10.0,1000.0,B,1000.0,,1000.0,co2,completed,,
2026-04-30T14:59:09.924,2,co2_groupb_1000ppm_800hpa,10.0,1000.0,B,1000.0,,800.0,co2,completed,,
2026-04-30T14:59:09.925,5,co2_groupb_1000ppm_600hpa,10.0,1000.0,B,1000.0,,600.0,co2,completed,,
2026-04-30T14:59:13.707,8,h2o_20c_40rh_1100hpa,20.0,,,,40.0,1100.0,h2o,completed,,
2026-04-30T14:59:13.708,6,h2o_20c_40rh_1000hpa,20.0,,,,40.0,1000.0,h2o,completed,,
2026-04-30T14:59:13.708,7,h2o_20c_40rh_800hpa,20.0,,,,40.0,800.0,h2o,completed,,
2026-04-30T14:59:13.709,10,h2o_20c_40rh_600hpa,20.0,,,,40.0,600.0,h2o,completed,,
2026-04-30T14:59:18.221,8,h2o_20c_70rh_1100hpa,20.0,,,,70.0,1100.0,h2o,completed,,
2026-04-30T14:59:18.222,6,h2o_20c_70rh_1000hpa,20.0,,,,70.0,1000.0,h2o,completed,,
2026-04-30T14:59:18.222,7,h2o_20c_70rh_800hpa,20.0,,,,70.0,800.0,h2o,completed,,
2026-04-30T14:59:18.223,10,h2o_20c_70rh_600hpa,20.0,,,,70.0,600.0,h2o,completed,,
2026-04-30T14:59:20.638,8,co2_groupa_0ppm_1100hpa,20.0,0.0,A,0.0,,1100.0,co2,completed,,
2026-04-30T14:59:20.639,6,co2_groupa_0ppm_1000hpa,20.0,0.0,A,0.0,,1000.0,co2,completed,,
2026-04-30T14:59:20.640,7,co2_groupa_0ppm_800hpa,20.0,0.0,A,0.0,,800.0,co2,completed,,
2026-04-30T14:59:20.642,10,co2_groupa_0ppm_600hpa,20.0,0.0,A,0.0,,600.0,co2,completed,,
2026-04-30T14:59:22.651,8,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,,1100.0,co2,completed,,
2026-04-30T14:59:22.653,6,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,,1000.0,co2,completed,,
2026-04-30T14:59:22.655,7,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,,800.0,co2,completed,,
2026-04-30T14:59:22.656,10,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,,600.0,co2,completed,,
2026-04-30T14:59:24.943,8,co2_groupb_1000ppm_1100hpa,20.0,1000.0,B,1000.0,,1100.0,co2,completed,,
2026-04-30T14:59:24.950,6,co2_groupb_1000ppm_1000hpa,20.0,1000.0,B,1000.0,,1000.0,co2,completed,,
2026-04-30T14:59:24.952,7,co2_groupb_1000ppm_800hpa,20.0,1000.0,B,1000.0,,800.0,co2,completed,,
2026-04-30T14:59:24.954,10,co2_groupb_1000ppm_600hpa,20.0,1000.0,B,1000.0,,600.0,co2,completed,,
