timestamp,device,direction,data
2026-04-30T15:08:17.709,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T15:08:17.711,PACE5000Fake,RX,ok
2026-04-30T15:08:17.777,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:08:17.781,RelayFake,RX,ok
2026-04-30T15:08:17.783,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:08:17.785,RelayFake,RX,ok
2026-04-30T15:08:17.787,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:08:17.791,RelayFake,RX,ok
2026-04-30T15:08:17.792,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:08:17.794,RelayFake,RX,ok
2026-04-30T15:08:17.797,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:08:17.798,RelayFake,RX,ok
2026-04-30T15:08:17.800,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:08:17.801,RelayFake,RX,ok
2026-04-30T15:08:17.802,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:08:17.803,RelayFake,RX,ok
2026-04-30T15:08:17.804,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:08:17.805,RelayFake,RX,ok
2026-04-30T15:08:17.806,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:08:17.806,RelayFake,RX,ok
2026-04-30T15:08:17.807,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:08:17.808,RelayFake,RX,ok
2026-04-30T15:08:17.809,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:08:17.811,RelayFake,RX,ok
2026-04-30T15:08:17.814,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:08:17.815,RelayFake,RX,ok
2026-04-30T15:08:17.816,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:08:17.819,RelayFake,RX,ok
2026-04-30T15:08:17.821,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:08:17.823,RelayFake,RX,ok
2026-04-30T15:08:17.824,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:08:17.826,RelayFake,RX,ok
2026-04-30T15:08:17.830,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:08:17.833,RelayFake,RX,ok
2026-04-30T15:08:17.835,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:08:17.837,RelayFake,RX,ok
2026-04-30T15:08:17.839,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:08:17.840,RelayFake,RX,ok
2026-04-30T15:08:17.842,PACE5000Fake,TX,set_output(False)
