timestamp,device,direction,data
2026-04-30T15:09:26.506,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T15:09:26.507,PACE5000Fake,RX,ok
2026-04-30T15:09:26.562,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T15:09:26.565,TemperatureChamberFake,RX,ok
2026-04-30T15:09:26.567,TemperatureChamberFake,TX,start()
2026-04-30T15:09:26.569,TemperatureChamberFake,RX,ok
2026-04-30T15:09:27.281,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:09:27.282,RelayFake,RX,ok
2026-04-30T15:09:27.283,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:09:27.283,RelayFake,RX,ok
2026-04-30T15:09:27.284,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:09:27.285,RelayFake,RX,ok
2026-04-30T15:09:27.286,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:09:27.287,RelayFake,RX,ok
2026-04-30T15:09:27.288,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:09:27.290,RelayFake,RX,ok
2026-04-30T15:09:27.291,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:09:27.292,RelayFake,RX,ok
2026-04-30T15:09:27.292,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:09:27.293,RelayFake,RX,ok
2026-04-30T15:09:27.295,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:09:27.297,RelayFake,RX,ok
2026-04-30T15:09:27.299,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:09:27.301,RelayFake,RX,ok
2026-04-30T15:09:27.302,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:09:27.304,RelayFake,RX,ok
2026-04-30T15:09:27.305,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:09:27.306,RelayFake,RX,ok
2026-04-30T15:09:27.307,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:09:27.308,RelayFake,RX,ok
2026-04-30T15:09:27.308,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:09:27.309,RelayFake,RX,ok
2026-04-30T15:09:27.310,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:09:27.310,RelayFake,RX,ok
2026-04-30T15:09:27.312,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:09:27.313,RelayFake,RX,ok
2026-04-30T15:09:27.315,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:09:27.317,RelayFake,RX,ok
2026-04-30T15:09:27.318,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:09:27.318,RelayFake,RX,ok
2026-04-30T15:09:27.320,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:09:27.321,RelayFake,RX,ok
2026-04-30T15:09:27.324,PACE5000Fake,TX,set_output(False)
2026-04-30T15:09:27.325,PACE5000Fake,RX,ok
2026-04-30T15:09:27.326,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:09:27.326,PACE5000Fake,RX,ok
2026-04-30T15:09:27.327,PACE5000Fake,TX,vent(True)
2026-04-30T15:09:27.330,PACE5000Fake,RX,ok
2026-04-30T15:09:27.335,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:09:27.337,RelayFake,RX,ok
2026-04-30T15:09:27.338,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:09:27.339,RelayFake,RX,ok
2026-04-30T15:09:27.340,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:09:27.340,RelayFake,RX,ok
2026-04-30T15:09:27.341,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:09:27.342,RelayFake,RX,ok
2026-04-30T15:09:27.343,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:09:27.344,RelayFake,RX,ok
2026-04-30T15:09:27.345,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:09:27.347,RelayFake,RX,ok
2026-04-30T15:09:27.349,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:09:27.350,RelayFake,RX,ok
2026-04-30T15:09:27.351,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:09:27.353,RelayFake,RX,ok
2026-04-30T15:09:27.354,RelayFake,TX,"set_valve(9, True)"
2026-04-30T15:09:27.356,RelayFake,RX,ok
2026-04-30T15:09:27.357,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:09:27.358,RelayFake,RX,ok
2026-04-30T15:09:27.359,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:09:27.360,RelayFake,RX,ok
2026-04-30T15:09:27.362,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:09:27.364,RelayFake,RX,ok
2026-04-30T15:09:27.368,RelayFake,TX,"set_valve(15, True)"
2026-04-30T15:09:27.370,RelayFake,RX,ok
2026-04-30T15:09:27.372,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:09:27.373,RelayFake,RX,ok
2026-04-30T15:09:27.374,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:09:27.375,RelayFake,RX,ok
2026-04-30T15:09:27.376,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:09:27.377,RelayFake,RX,ok
2026-04-30T15:09:27.378,RelayFake,TX,"set_valve(3, True)"
2026-04-30T15:09:27.380,RelayFake,RX,ok
2026-04-30T15:09:27.381,RelayFake,TX,"set_valve(8, True)"
2026-04-30T15:09:27.382,RelayFake,RX,ok
2026-04-30T15:09:27.386,PACE5000Fake,TX,set_output(False)
2026-04-30T15:09:27.387,PACE5000Fake,RX,ok
2026-04-30T15:09:27.388,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:09:27.389,PACE5000Fake,RX,ok
2026-04-30T15:09:27.390,PACE5000Fake,TX,vent(True)
2026-04-30T15:09:27.391,PACE5000Fake,RX,ok
2026-04-30T15:09:27.436,pressure_controller,TX,exit_atmosphere_mode(vent_on=False)
