timestamp,device,direction,data
2026-04-30T15:08:46.934,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T15:08:46.935,PACE5000Fake,RX,ok
2026-04-30T15:08:46.987,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:08:46.988,RelayFake,RX,ok
2026-04-30T15:08:46.988,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:08:46.989,RelayFake,RX,ok
2026-04-30T15:08:46.989,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:08:46.990,RelayFake,RX,ok
2026-04-30T15:08:46.990,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:08:46.991,RelayFake,RX,ok
2026-04-30T15:08:46.992,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:08:46.992,RelayFake,RX,ok
2026-04-30T15:08:46.993,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:08:46.993,RelayFake,RX,ok
2026-04-30T15:08:46.995,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:08:47.000,RelayFake,RX,ok
2026-04-30T15:08:47.002,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:08:47.003,RelayFake,RX,ok
2026-04-30T15:08:47.004,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:08:47.005,RelayFake,RX,ok
2026-04-30T15:08:47.007,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:08:47.007,RelayFake,RX,ok
2026-04-30T15:08:47.008,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:08:47.009,RelayFake,RX,ok
2026-04-30T15:08:47.012,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:08:47.014,RelayFake,RX,ok
2026-04-30T15:08:47.015,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:08:47.016,RelayFake,RX,ok
2026-04-30T15:08:47.017,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:08:47.018,RelayFake,RX,ok
2026-04-30T15:08:47.018,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:08:47.019,RelayFake,RX,ok
2026-04-30T15:08:47.020,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:08:47.020,RelayFake,RX,ok
2026-04-30T15:08:47.021,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:08:47.022,RelayFake,RX,ok
2026-04-30T15:08:47.022,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:08:47.023,RelayFake,RX,ok
2026-04-30T15:08:47.024,PACE5000Fake,TX,set_output(False)
2026-04-30T15:08:47.025,PACE5000Fake,RX,ok
2026-04-30T15:08:47.026,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:08:47.026,PACE5000Fake,RX,ok
2026-04-30T15:08:47.027,PACE5000Fake,TX,vent(True)
2026-04-30T15:08:47.028,PACE5000Fake,RX,ok
