timestamp,point_index,point_tag,temperature_c,co2_ppm,co2_group,cylinder_nominal_ppm,humidity_pct,pressure_hpa,route,status,stability_time_s,total_time_s
2026-04-30T15:08:59.751,3,h2o_10c_30rh_1100hpa,10.0,,,,30.0,1100.0,h2o,completed,,
2026-04-30T15:08:59.753,1,h2o_10c_30rh_1000hpa,10.0,,,,30.0,1000.0,h2o,completed,,
2026-04-30T15:08:59.754,2,h2o_10c_30rh_800hpa,10.0,,,,30.0,800.0,h2o,completed,,
2026-04-30T15:08:59.754,5,h2o_10c_30rh_600hpa,10.0,,,,30.0,600.0,h2o,completed,,
2026-04-30T15:09:03.092,3,h2o_10c_50rh_1100hpa,10.0,,,,50.0,1100.0,h2o,completed,,
2026-04-30T15:09:03.094,1,h2o_10c_50rh_1000hpa,10.0,,,,50.0,1000.0,h2o,completed,,
2026-04-30T15:09:03.101,2,h2o_10c_50rh_800hpa,10.0,,,,50.0,800.0,h2o,completed,,
2026-04-30T15:09:03.103,5,h2o_10c_50rh_600hpa,10.0,,,,50.0,600.0,h2o,completed,,
2026-04-30T15:09:04.967,3,co2_groupa_0ppm_1100hpa,10.0,0.0,A,0.0,,1100.0,co2,completed,,
2026-04-30T15:09:04.969,1,co2_groupa_0ppm_1000hpa,10.0,0.0,A,0.0,,1000.0,co2,completed,,
2026-04-30T15:09:04.970,2,co2_groupa_0ppm_800hpa,10.0,0.0,A,0.0,,800.0,co2,completed,,
2026-04-30T15:09:04.971,5,co2_groupa_0ppm_600hpa,10.0,0.0,A,0.0,,600.0,co2,completed,,
2026-04-30T15:09:06.457,3,co2_groupa_100ppm_1100hpa,10.0,100.0,A,100.0,,1100.0,co2,completed,,
2026-04-30T15:09:06.458,1,co2_groupa_100ppm_1000hpa,10.0,100.0,A,100.0,,1000.0,co2,completed,,
2026-04-30T15:09:06.460,2,co2_groupa_100ppm_800hpa,10.0,100.0,A,100.0,,800.0,co2,completed,,
2026-04-30T15:09:06.461,5,co2_groupa_100ppm_600hpa,10.0,100.0,A,100.0,,600.0,co2,completed,,
2026-04-30T15:09:08.017,3,co2_groupb_1000ppm_1100hpa,10.0,1000.0,B,1000.0,,1100.0,co2,completed,,
2026-04-30T15:09:08.019,1,co2_groupb_1000ppm_1000hpa,10.0,1000.0,B,1000.0,,1000.0,co2,completed,,
2026-04-30T15:09:08.022,2,co2_groupb_1000ppm_800hpa,10.0,1000.0,B,1000.0,,800.0,co2,completed,,
2026-04-30T15:09:08.025,5,co2_groupb_1000ppm_600hpa,10.0,1000.0,B,1000.0,,600.0,co2,completed,,
2026-04-30T15:09:11.878,8,h2o_20c_40rh_1100hpa,20.0,,,,40.0,1100.0,h2o,completed,,
2026-04-30T15:09:11.881,6,h2o_20c_40rh_1000hpa,20.0,,,,40.0,1000.0,h2o,completed,,
2026-04-30T15:09:11.882,7,h2o_20c_40rh_800hpa,20.0,,,,40.0,800.0,h2o,completed,,
2026-04-30T15:09:11.884,10,h2o_20c_40rh_600hpa,20.0,,,,40.0,600.0,h2o,completed,,
2026-04-30T15:09:16.167,8,h2o_20c_70rh_1100hpa,20.0,,,,70.0,1100.0,h2o,completed,,
2026-04-30T15:09:16.169,6,h2o_20c_70rh_1000hpa,20.0,,,,70.0,1000.0,h2o,completed,,
2026-04-30T15:09:16.170,7,h2o_20c_70rh_800hpa,20.0,,,,70.0,800.0,h2o,completed,,
2026-04-30T15:09:16.171,10,h2o_20c_70rh_600hpa,20.0,,,,70.0,600.0,h2o,completed,,
2026-04-30T15:09:18.656,8,co2_groupa_0ppm_1100hpa,20.0,0.0,A,0.0,,1100.0,co2,completed,,
2026-04-30T15:09:18.657,6,co2_groupa_0ppm_1000hpa,20.0,0.0,A,0.0,,1000.0,co2,completed,,
2026-04-30T15:09:18.658,7,co2_groupa_0ppm_800hpa,20.0,0.0,A,0.0,,800.0,co2,completed,,
2026-04-30T15:09:18.660,10,co2_groupa_0ppm_600hpa,20.0,0.0,A,0.0,,600.0,co2,completed,,
2026-04-30T15:09:20.488,8,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,,1100.0,co2,completed,,
2026-04-30T15:09:20.489,6,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,,1000.0,co2,completed,,
2026-04-30T15:09:20.491,7,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,,800.0,co2,completed,,
2026-04-30T15:09:20.492,10,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,,600.0,co2,completed,,
2026-04-30T15:09:22.743,8,co2_groupb_1000ppm_1100hpa,20.0,1000.0,B,1000.0,,1100.0,co2,completed,,
2026-04-30T15:09:22.744,6,co2_groupb_1000ppm_1000hpa,20.0,1000.0,B,1000.0,,1000.0,co2,completed,,
2026-04-30T15:09:22.746,7,co2_groupb_1000ppm_800hpa,20.0,1000.0,B,1000.0,,800.0,co2,completed,,
2026-04-30T15:09:22.748,10,co2_groupb_1000ppm_600hpa,20.0,1000.0,B,1000.0,,600.0,co2,completed,,
