timestamp,device,direction,data
2026-04-30T16:14:44.098,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T16:14:44.105,PACE5000Fake,RX,ok
2026-04-30T16:14:44.165,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T16:14:44.168,TemperatureChamberFake,RX,ok
2026-04-30T16:14:44.171,TemperatureChamberFake,TX,start()
2026-04-30T16:14:44.174,TemperatureChamberFake,RX,ok
2026-04-30T16:14:44.888,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:14:44.890,RelayFake,RX,ok
2026-04-30T16:14:44.891,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:14:44.893,RelayFake,RX,ok
2026-04-30T16:14:44.899,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:14:44.902,RelayFake,RX,ok
2026-04-30T16:14:44.905,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:14:44.907,RelayFake,RX,ok
2026-04-30T16:14:44.909,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:14:44.916,RelayFake,RX,ok
2026-04-30T16:14:44.920,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:14:44.923,RelayFake,RX,ok
2026-04-30T16:14:44.926,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:14:44.929,RelayFake,RX,ok
2026-04-30T16:14:44.934,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:14:44.939,RelayFake,RX,ok
2026-04-30T16:14:44.941,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:14:44.943,RelayFake,RX,ok
2026-04-30T16:14:44.948,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:14:44.951,RelayFake,RX,ok
2026-04-30T16:14:44.956,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:14:44.958,RelayFake,RX,ok
2026-04-30T16:14:44.962,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:14:44.967,RelayFake,RX,ok
2026-04-30T16:14:44.971,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:14:44.974,RelayFake,RX,ok
2026-04-30T16:14:44.976,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:14:44.977,RelayFake,RX,ok
2026-04-30T16:14:44.978,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:14:44.979,RelayFake,RX,ok
2026-04-30T16:14:44.980,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:14:44.981,RelayFake,RX,ok
2026-04-30T16:14:44.983,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:14:44.991,RelayFake,RX,ok
2026-04-30T16:14:44.999,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:14:45.005,RelayFake,RX,ok
2026-04-30T16:14:45.011,PACE5000Fake,TX,set_output(False)
2026-04-30T16:14:45.013,PACE5000Fake,RX,ok
2026-04-30T16:14:45.014,PACE5000Fake,TX,set_isolation_open(True)
