point_index,point_phase,point_tag,route,temperature_c,hgen_temp_c,humidity_pct,co2_ppm,co2_group,cylinder_nominal_ppm,pressure_target_hpa,execution_status,qc_valid,recommendation,reason,raw_sample_count,cleaned_sample_count,usable_sample_count,removed_sample_count,total_frames,valid_frames,frames_with_data,frame_status,pressure_gauge_hpa_mean,pressure_reference_status,thermometer_temp_c_mean,thermometer_reference_status,reference_quality,dew_point_c_mean,AnalyzerCoverage,UsableAnalyzers,ExpectedAnalyzers,PointIntegrity,MissingAnalyzers,UnusableAnalyzers,stability_time_s,total_time_s,pressure_mode,pressure_target_label,pressure_selection_token,postseal_expected_dewpoint_c,postseal_actual_dewpoint_c,postseal_physical_delta_c,postseal_physical_qc_status,postseal_physical_qc_reason,postseal_guard_status,postseal_guard_flags,postseal_timeout_policy,postseal_timeout_blocked,postsample_late_rebound_status,postsample_late_rebound_reason,dewpoint_gate_result,flush_gate_status,flush_gate_reason,dewpoint_rebound_detected,rebound_rise_c,rebound_note,preseal_dewpoint_c,preseal_temp_c,preseal_rh_pct,preseal_pressure_hpa,preseal_trigger_overshoot_hpa,preseal_vent_off_begin_to_route_sealed_ms,pressure_gauge_stale_count,pressure_gauge_total_count,pressure_gauge_stale_ratio
1,co2,co2_groupa_0ppm_1000hpa,co2,10.0,,,0.0,A,0.0,1000.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,6.233078000001848,8/8,8,8,complete,,,0.007883600000241131,0.06419030000051862,sealed_controlled,1000hPa,,,6.045194400000042,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,co2,co2_groupa_100ppm_1000hpa,co2,10.0,,,100.0,A,100.0,1000.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.019802799999524723,0.07410129999971105,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,co2,co2_groupb_1000ppm_1000hpa,co2,10.0,,,1000.0,B,1000.0,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.018994900000507187,0.07384100000035687,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,h2o,h2o_10c_30rh_1000hpa,h2o,10.0,10.0,30.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.013192599999456434,0.06696430000010878,sealed_controlled,1000hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,h2o,h2o_10c_50rh_1000hpa,h2o,10.0,10.0,50.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.010129399999641464,0.06358179999915592,sealed_controlled,1000hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupa_0ppm_800hpa,co2,10.0,,,0.0,A,0.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,7.150475200005902,8/8,8,8,complete,,,0.017619100000047183,0.07122230000004492,sealed_controlled,800hPa,,,6.894585600006401,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupa_100ppm_800hpa,co2,10.0,,,100.0,A,100.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.01393610000013723,0.06757780000043567,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupb_1000ppm_800hpa,co2,10.0,,,1000.0,B,1000.0,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.0188983999996708,0.07263739999962127,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,h2o,h2o_10c_30rh_800hpa,h2o,10.0,10.0,30.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.009412399999746413,0.06283290000010311,sealed_controlled,800hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,h2o,h2o_10c_50rh_800hpa,h2o,10.0,10.0,50.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.012521699999524571,0.06633619999956863,sealed_controlled,800hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,co2,co2_groupa_0ppm_1100hpa,co2,10.0,,,0.0,A,0.0,1100.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,1.7932427999992822,8/8,8,8,complete,,,0.014736699999957636,0.06712489999972604,sealed_controlled,1100hPa,,,-2.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,co2,co2_groupa_100ppm_1100hpa,co2,10.0,,,100.0,A,100.0,1100.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,3.0,8/8,8,8,complete,,,0.016604200000074343,0.06922870000016701,sealed_controlled,1100hPa,,,-2.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,co2,co2_groupb_1000ppm_1100hpa,co2,10.0,,,1000.0,B,1000.0,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,3.0,8/8,8,8,complete,,,0.017395300000316638,0.07089780000023893,sealed_controlled,1100hPa,,,-2.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,h2o,h2o_10c_30rh_1100hpa,h2o,10.0,10.0,30.0,,,,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.006410699999833014,0.059213099999396945,sealed_controlled,1100hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,h2o,h2o_10c_50rh_1100hpa,h2o,10.0,10.0,50.0,,,,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.015345099999649392,0.07059110000045621,sealed_controlled,1100hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
5,co2,co2_groupa_0ppm_600hpa,co2,10.0,,,0.0,A,0.0,600.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,7.934837600002361,8/8,8,8,complete,,,0.02194549999967421,0.07501779999984137,sealed_controlled,600hPa,,,7.869675200004721,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
5,co2,co2_groupa_100ppm_600hpa,co2,10.0,,,100.0,A,100.0,600.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.012674499999775435,0.06606449999981123,sealed_controlled,600hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
5,co2,co2_groupb_1000ppm_600hpa,co2,10.0,,,1000.0,B,1000.0,600.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,600.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.018012600000474777,0.07222879999972065,sealed_controlled,600hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
