timestamp,device,direction,data
2026-04-30T15:52:52.961,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T15:52:52.962,PACE5000Fake,RX,ok
2026-04-30T15:52:53.017,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T15:52:53.019,TemperatureChamberFake,RX,ok
2026-04-30T15:52:53.021,TemperatureChamberFake,TX,start()
2026-04-30T15:52:53.022,TemperatureChamberFake,RX,ok
2026-04-30T15:52:53.734,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:53.736,RelayFake,RX,ok
2026-04-30T15:52:53.738,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:53.740,RelayFake,RX,ok
2026-04-30T15:52:53.741,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:53.742,RelayFake,RX,ok
2026-04-30T15:52:53.743,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:52:53.745,RelayFake,RX,ok
2026-04-30T15:52:53.746,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:52:53.747,RelayFake,RX,ok
2026-04-30T15:52:53.749,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:52:53.753,RelayFake,RX,ok
2026-04-30T15:52:53.757,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:52:53.759,RelayFake,RX,ok
2026-04-30T15:52:53.760,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:53.762,RelayFake,RX,ok
2026-04-30T15:52:53.764,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:52:53.766,RelayFake,RX,ok
2026-04-30T15:52:53.770,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:52:53.772,RelayFake,RX,ok
2026-04-30T15:52:53.774,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:52:53.776,RelayFake,RX,ok
2026-04-30T15:52:53.778,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:52:53.779,RelayFake,RX,ok
2026-04-30T15:52:53.780,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:52:53.781,RelayFake,RX,ok
2026-04-30T15:52:53.785,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:52:53.788,RelayFake,RX,ok
2026-04-30T15:52:53.791,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:53.794,RelayFake,RX,ok
2026-04-30T15:52:53.796,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:53.797,RelayFake,RX,ok
2026-04-30T15:52:53.799,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:53.802,RelayFake,RX,ok
2026-04-30T15:52:53.804,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:53.806,RelayFake,RX,ok
2026-04-30T15:52:53.810,PACE5000Fake,TX,set_output(False)
2026-04-30T15:52:53.812,PACE5000Fake,RX,ok
2026-04-30T15:52:53.814,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:52:53.817,PACE5000Fake,RX,ok
2026-04-30T15:52:53.821,PACE5000Fake,TX,vent(True)
2026-04-30T15:52:53.824,PACE5000Fake,RX,ok
2026-04-30T15:52:53.828,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:53.829,RelayFake,RX,ok
2026-04-30T15:52:53.830,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:53.833,RelayFake,RX,ok
2026-04-30T15:52:53.836,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:53.841,RelayFake,RX,ok
2026-04-30T15:52:53.843,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:52:53.844,RelayFake,RX,ok
2026-04-30T15:52:53.846,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:52:53.847,RelayFake,RX,ok
2026-04-30T15:52:53.849,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:52:53.854,RelayFake,RX,ok
2026-04-30T15:52:53.858,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:52:53.860,RelayFake,RX,ok
2026-04-30T15:52:53.861,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:53.862,RelayFake,RX,ok
2026-04-30T15:52:53.863,RelayFake,TX,"set_valve(9, True)"
2026-04-30T15:52:53.864,RelayFake,RX,ok
2026-04-30T15:52:53.867,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:52:53.871,RelayFake,RX,ok
2026-04-30T15:52:53.876,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:52:53.878,RelayFake,RX,ok
2026-04-30T15:52:53.879,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:52:53.880,RelayFake,RX,ok
2026-04-30T15:52:53.883,RelayFake,TX,"set_valve(15, True)"
2026-04-30T15:52:53.888,RelayFake,RX,ok
2026-04-30T15:52:53.891,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:52:53.893,RelayFake,RX,ok
2026-04-30T15:52:53.895,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:53.896,RelayFake,RX,ok
2026-04-30T15:52:53.898,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:53.902,RelayFake,RX,ok
2026-04-30T15:52:53.904,RelayFake,TX,"set_valve(3, True)"
2026-04-30T15:52:53.906,RelayFake,RX,ok
2026-04-30T15:52:53.907,RelayFake,TX,"set_valve(8, True)"
2026-04-30T15:52:53.908,RelayFake,RX,ok
2026-04-30T15:52:53.910,PACE5000Fake,TX,set_output(False)
2026-04-30T15:52:53.911,PACE5000Fake,RX,ok
2026-04-30T15:52:53.912,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:52:53.913,PACE5000Fake,RX,ok
2026-04-30T15:52:53.914,PACE5000Fake,TX,vent(True)
2026-04-30T15:52:53.917,PACE5000Fake,RX,ok
2026-04-30T15:52:53.961,pressure_controller,TX,exit_atmosphere_mode(vent_on=False)
2026-04-30T15:52:54.212,pressure_controller,RX,ok
2026-04-30T15:52:54.223,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:54.227,RelayFake,RX,ok
2026-04-30T15:52:54.230,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:54.232,RelayFake,RX,ok
2026-04-30T15:52:54.239,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:54.242,RelayFake,RX,ok
2026-04-30T15:52:54.243,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:52:54.245,RelayFake,RX,ok
2026-04-30T15:52:54.246,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:52:54.247,RelayFake,RX,ok
2026-04-30T15:52:54.253,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:52:54.258,RelayFake,RX,ok
2026-04-30T15:52:54.261,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:52:54.262,RelayFake,RX,ok
2026-04-30T15:52:54.264,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:54.269,RelayFake,RX,ok
2026-04-30T15:52:54.273,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:52:54.275,RelayFake,RX,ok
2026-04-30T15:52:54.276,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:52:54.277,RelayFake,RX,ok
2026-04-30T15:52:54.279,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:52:54.280,RelayFake,RX,ok
