timestamp,device,direction,data
2026-04-30T15:52:11.600,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T15:52:11.605,PACE5000Fake,RX,ok
2026-04-30T15:52:11.660,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:11.660,RelayFake,RX,ok
2026-04-30T15:52:11.661,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:11.662,RelayFake,RX,ok
2026-04-30T15:52:11.663,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:11.665,RelayFake,RX,ok
2026-04-30T15:52:11.668,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:52:11.671,RelayFake,RX,ok
2026-04-30T15:52:11.672,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:52:11.673,RelayFake,RX,ok
2026-04-30T15:52:11.675,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:52:11.676,RelayFake,RX,ok
2026-04-30T15:52:11.677,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:52:11.678,RelayFake,RX,ok
2026-04-30T15:52:11.679,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:11.680,RelayFake,RX,ok
2026-04-30T15:52:11.682,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:52:11.685,RelayFake,RX,ok
2026-04-30T15:52:11.687,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:52:11.688,RelayFake,RX,ok
2026-04-30T15:52:11.689,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:52:11.690,RelayFake,RX,ok
2026-04-30T15:52:11.691,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:52:11.692,RelayFake,RX,ok
2026-04-30T15:52:11.692,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:52:11.693,RelayFake,RX,ok
2026-04-30T15:52:11.694,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:52:11.695,RelayFake,RX,ok
2026-04-30T15:52:11.696,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:11.697,RelayFake,RX,ok
2026-04-30T15:52:11.700,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:11.703,RelayFake,RX,ok
2026-04-30T15:52:11.709,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:11.711,RelayFake,RX,ok
