timestamp,device,direction,data
2026-04-30T15:52:21.509,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T15:52:21.510,PACE5000Fake,RX,ok
2026-04-30T15:52:21.563,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:21.564,RelayFake,RX,ok
2026-04-30T15:52:21.569,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:21.572,RelayFake,RX,ok
2026-04-30T15:52:21.573,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:21.574,RelayFake,RX,ok
2026-04-30T15:52:21.575,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:52:21.576,RelayFake,RX,ok
2026-04-30T15:52:21.577,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:52:21.578,RelayFake,RX,ok
2026-04-30T15:52:21.579,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:52:21.579,RelayFake,RX,ok
2026-04-30T15:52:21.580,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:52:21.581,RelayFake,RX,ok
2026-04-30T15:52:21.584,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:21.589,RelayFake,RX,ok
2026-04-30T15:52:21.592,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:52:21.594,RelayFake,RX,ok
2026-04-30T15:52:21.595,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:52:21.596,RelayFake,RX,ok
2026-04-30T15:52:21.597,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:52:21.598,RelayFake,RX,ok
2026-04-30T15:52:21.602,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:52:21.606,RelayFake,RX,ok
2026-04-30T15:52:21.608,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:52:21.610,RelayFake,RX,ok
2026-04-30T15:52:21.611,RelayFake,TX,"set_valve(16, False)"
2026-04-30T15:52:21.613,RelayFake,RX,ok
2026-04-30T15:52:21.614,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:21.618,RelayFake,RX,ok
2026-04-30T15:52:21.624,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:21.626,RelayFake,RX,ok
2026-04-30T15:52:21.628,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:21.629,RelayFake,RX,ok
2026-04-30T15:52:21.630,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:21.637,RelayFake,RX,ok
2026-04-30T15:52:21.640,PACE5000Fake,TX,set_output(False)
2026-04-30T15:52:21.642,PACE5000Fake,RX,ok
2026-04-30T15:52:21.643,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:52:21.644,PACE5000Fake,RX,ok
2026-04-30T15:52:21.645,PACE5000Fake,TX,vent(True)
2026-04-30T15:52:21.646,PACE5000Fake,RX,ok
2026-04-30T15:52:21.654,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T15:52:21.658,GRZ5013Fake,RX,ok
2026-04-30T15:52:21.660,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T15:52:21.661,GRZ5013Fake,RX,ok
2026-04-30T15:52:21.663,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T15:52:21.668,TemperatureChamberFake,RX,ok
2026-04-30T15:52:21.672,TemperatureChamberFake,TX,start()
2026-04-30T15:52:21.674,TemperatureChamberFake,RX,ok
2026-04-30T15:52:23.875,PACE5000Fake,TX,set_output(False)
2026-04-30T15:52:23.876,PACE5000Fake,RX,ok
2026-04-30T15:52:23.877,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T15:52:23.878,PACE5000Fake,RX,ok
2026-04-30T15:52:23.878,PACE5000Fake,TX,vent(True)
2026-04-30T15:52:23.879,PACE5000Fake,RX,ok
2026-04-30T15:52:23.883,RelayFake,TX,"set_valve(1, False)"
2026-04-30T15:52:23.886,RelayFake,RX,ok
2026-04-30T15:52:23.889,RelayFake,TX,"set_valve(2, False)"
2026-04-30T15:52:23.891,RelayFake,RX,ok
2026-04-30T15:52:23.892,RelayFake,TX,"set_valve(3, False)"
2026-04-30T15:52:23.894,RelayFake,RX,ok
2026-04-30T15:52:23.895,RelayFake,TX,"set_valve(4, False)"
2026-04-30T15:52:23.896,RelayFake,RX,ok
2026-04-30T15:52:23.897,RelayFake,TX,"set_valve(5, False)"
2026-04-30T15:52:23.904,RelayFake,RX,ok
2026-04-30T15:52:23.907,RelayFake,TX,"set_valve(6, False)"
2026-04-30T15:52:23.909,RelayFake,RX,ok
2026-04-30T15:52:23.910,RelayFake,TX,"set_valve(7, False)"
2026-04-30T15:52:23.911,RelayFake,RX,ok
2026-04-30T15:52:23.911,RelayFake,TX,"set_valve(8, False)"
2026-04-30T15:52:23.913,RelayFake,RX,ok
2026-04-30T15:52:23.914,RelayFake,TX,"set_valve(9, False)"
2026-04-30T15:52:23.917,RelayFake,RX,ok
2026-04-30T15:52:23.919,RelayFake,TX,"set_valve(10, False)"
2026-04-30T15:52:23.921,RelayFake,RX,ok
2026-04-30T15:52:23.923,RelayFake,TX,"set_valve(11, False)"
2026-04-30T15:52:23.924,RelayFake,RX,ok
2026-04-30T15:52:23.925,RelayFake,TX,"set_valve(12, False)"
2026-04-30T15:52:23.926,RelayFake,RX,ok
2026-04-30T15:52:23.927,RelayFake,TX,"set_valve(15, False)"
2026-04-30T15:52:23.928,RelayFake,RX,ok
