timestamp,device,direction,data
2026-04-30T16:31:30.522,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T16:31:30.523,PACE5000Fake,RX,ok
2026-04-30T16:31:30.583,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:30.584,RelayFake,RX,ok
2026-04-30T16:31:30.585,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:30.587,RelayFake,RX,ok
2026-04-30T16:31:30.588,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:30.590,RelayFake,RX,ok
2026-04-30T16:31:30.590,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:30.591,RelayFake,RX,ok
2026-04-30T16:31:30.593,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:30.598,RelayFake,RX,ok
2026-04-30T16:31:30.601,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:30.603,RelayFake,RX,ok
2026-04-30T16:31:30.605,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:30.606,RelayFake,RX,ok
2026-04-30T16:31:30.607,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:30.609,RelayFake,RX,ok
2026-04-30T16:31:30.612,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:30.617,RelayFake,RX,ok
2026-04-30T16:31:30.619,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:30.621,RelayFake,RX,ok
2026-04-30T16:31:30.622,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:30.623,RelayFake,RX,ok
2026-04-30T16:31:30.625,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:31:30.626,RelayFake,RX,ok
2026-04-30T16:31:30.629,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:31:30.633,RelayFake,RX,ok
2026-04-30T16:31:30.635,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:31:30.636,RelayFake,RX,ok
2026-04-30T16:31:30.638,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:30.639,RelayFake,RX,ok
2026-04-30T16:31:30.640,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:30.642,RelayFake,RX,ok
2026-04-30T16:31:30.643,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:30.648,RelayFake,RX,ok
2026-04-30T16:31:30.650,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:30.652,RelayFake,RX,ok
2026-04-30T16:31:30.655,PACE5000Fake,TX,set_output(False)
2026-04-30T16:31:30.657,PACE5000Fake,RX,ok
2026-04-30T16:31:30.658,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:31:30.659,PACE5000Fake,RX,ok
2026-04-30T16:31:30.665,PACE5000Fake,TX,vent(True)
2026-04-30T16:31:30.668,PACE5000Fake,RX,ok
2026-04-30T16:31:30.673,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T16:31:30.675,GRZ5013Fake,RX,ok
2026-04-30T16:31:30.679,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T16:31:30.684,GRZ5013Fake,RX,ok
2026-04-30T16:31:30.687,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T16:31:30.689,TemperatureChamberFake,RX,ok
2026-04-30T16:31:30.691,TemperatureChamberFake,TX,start()
2026-04-30T16:31:30.692,TemperatureChamberFake,RX,ok
2026-04-30T16:31:32.824,PACE5000Fake,TX,set_output(False)
2026-04-30T16:31:32.825,PACE5000Fake,RX,ok
2026-04-30T16:31:32.826,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:31:32.829,PACE5000Fake,RX,ok
2026-04-30T16:31:32.833,PACE5000Fake,TX,vent(True)
2026-04-30T16:31:32.835,PACE5000Fake,RX,ok
2026-04-30T16:31:32.838,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:32.839,RelayFake,RX,ok
2026-04-30T16:31:32.841,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:32.842,RelayFake,RX,ok
2026-04-30T16:31:32.846,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:32.850,RelayFake,RX,ok
2026-04-30T16:31:32.851,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:32.853,RelayFake,RX,ok
2026-04-30T16:31:32.855,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:32.856,RelayFake,RX,ok
2026-04-30T16:31:32.858,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:32.859,RelayFake,RX,ok
2026-04-30T16:31:32.862,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:32.867,RelayFake,RX,ok
2026-04-30T16:31:32.869,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:32.872,RelayFake,RX,ok
2026-04-30T16:31:32.873,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:32.875,RelayFake,RX,ok
2026-04-30T16:31:32.878,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:32.884,RelayFake,RX,ok
2026-04-30T16:31:32.886,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:32.889,RelayFake,RX,ok
2026-04-30T16:31:32.891,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:31:32.894,RelayFake,RX,ok
2026-04-30T16:31:32.899,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:31:32.902,RelayFake,RX,ok
2026-04-30T16:31:32.904,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:31:32.906,RelayFake,RX,ok
2026-04-30T16:31:32.907,RelayFake,TX,"set_valve(1, True)"
2026-04-30T16:31:32.909,RelayFake,RX,ok
2026-04-30T16:31:32.913,RelayFake,TX,"set_valve(2, True)"
2026-04-30T16:31:32.917,RelayFake,RX,ok
2026-04-30T16:31:32.918,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:32.920,RelayFake,RX,ok
2026-04-30T16:31:32.922,RelayFake,TX,"set_valve(8, True)"
2026-04-30T16:31:32.924,RelayFake,RX,ok
2026-04-30T16:31:33.589,pressure_controller,TX,exit_atmosphere_mode(vent_on=False)
2026-04-30T16:31:33.841,pressure_controller,RX,ok
2026-04-30T16:31:33.848,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:33.851,RelayFake,RX,ok
2026-04-30T16:31:33.852,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:33.854,RelayFake,RX,ok
2026-04-30T16:31:33.856,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:33.857,RelayFake,RX,ok
2026-04-30T16:31:33.859,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:33.862,RelayFake,RX,ok
2026-04-30T16:31:33.867,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:33.869,RelayFake,RX,ok
2026-04-30T16:31:33.870,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:33.872,RelayFake,RX,ok
2026-04-30T16:31:33.874,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:33.875,RelayFake,RX,ok
2026-04-30T16:31:33.877,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:33.883,RelayFake,RX,ok
2026-04-30T16:31:33.886,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:33.888,RelayFake,RX,ok
2026-04-30T16:31:33.890,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:33.892,RelayFake,RX,ok
2026-04-30T16:31:33.895,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:33.901,RelayFake,RX,ok
2026-04-30T16:31:33.903,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:31:33.905,RelayFake,RX,ok
2026-04-30T16:31:33.907,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:31:33.909,RelayFake,RX,ok
2026-04-30T16:31:33.912,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:31:33.917,RelayFake,RX,ok
2026-04-30T16:31:33.920,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:33.922,RelayFake,RX,ok
2026-04-30T16:31:33.923,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:33.925,RelayFake,RX,ok
2026-04-30T16:31:33.929,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:33.934,RelayFake,RX,ok
2026-04-30T16:31:33.935,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:33.938,RelayFake,RX,ok
2026-04-30T16:31:33.942,PACE5000Fake,TX,enable_control_output()
2026-04-30T16:31:33.946,PACE5000Fake,RX,ok
2026-04-30T16:31:34.024,PACE5000Fake,TX,enable_control_output()
2026-04-30T16:31:34.026,PACE5000Fake,RX,ok
2026-04-30T16:31:34.105,PACE5000Fake,TX,enable_control_output()
2026-04-30T16:31:34.107,PACE5000Fake,RX,ok
2026-04-30T16:31:34.189,PACE5000Fake,TX,enable_control_output()
2026-04-30T16:31:34.191,PACE5000Fake,RX,ok
2026-04-30T16:31:34.272,PACE5000Fake,TX,set_output(False)
2026-04-30T16:31:34.274,PACE5000Fake,RX,ok
2026-04-30T16:31:34.275,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:31:34.278,PACE5000Fake,RX,ok
2026-04-30T16:31:34.282,PACE5000Fake,TX,vent(True)
2026-04-30T16:31:34.285,PACE5000Fake,RX,ok
2026-04-30T16:31:34.289,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:34.291,RelayFake,RX,ok
2026-04-30T16:31:34.295,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:34.301,RelayFake,RX,ok
2026-04-30T16:31:34.302,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:34.304,RelayFake,RX,ok
2026-04-30T16:31:34.306,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:34.308,RelayFake,RX,ok
2026-04-30T16:31:34.309,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:34.315,RelayFake,RX,ok
2026-04-30T16:31:34.317,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:34.320,RelayFake,RX,ok
2026-04-30T16:31:34.322,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:34.323,RelayFake,RX,ok
2026-04-30T16:31:34.325,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:34.327,RelayFake,RX,ok
2026-04-30T16:31:34.332,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:34.334,RelayFake,RX,ok
2026-04-30T16:31:34.336,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:34.339,RelayFake,RX,ok
2026-04-30T16:31:34.341,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:34.343,RelayFake,RX,ok
2026-04-30T16:31:34.348,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:31:34.351,RelayFake,RX,ok
2026-04-30T16:31:34.353,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:31:34.355,RelayFake,RX,ok
2026-04-30T16:31:34.357,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:31:34.359,RelayFake,RX,ok
2026-04-30T16:31:34.364,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:34.367,RelayFake,RX,ok
2026-04-30T16:31:34.369,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:34.371,RelayFake,RX,ok
2026-04-30T16:31:34.373,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:34.375,RelayFake,RX,ok
2026-04-30T16:31:34.379,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:34.384,RelayFake,RX,ok
2026-04-30T16:31:34.397,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:34.402,RelayFake,RX,ok
2026-04-30T16:31:34.406,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:34.408,RelayFake,RX,ok
2026-04-30T16:31:34.410,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:34.416,RelayFake,RX,ok
2026-04-30T16:31:34.419,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:34.422,RelayFake,RX,ok
2026-04-30T16:31:34.424,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:34.426,RelayFake,RX,ok
2026-04-30T16:31:34.431,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:34.434,RelayFake,RX,ok
2026-04-30T16:31:34.436,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:34.438,RelayFake,RX,ok
2026-04-30T16:31:34.440,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:34.442,RelayFake,RX,ok
2026-04-30T16:31:34.446,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:34.450,RelayFake,RX,ok
2026-04-30T16:31:34.452,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:34.454,RelayFake,RX,ok
2026-04-30T16:31:34.456,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:34.458,RelayFake,RX,ok
2026-04-30T16:31:34.461,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:31:34.467,RelayFake,RX,ok
2026-04-30T16:31:34.469,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:31:34.471,RelayFake,RX,ok
2026-04-30T16:31:34.473,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:31:34.475,RelayFake,RX,ok
2026-04-30T16:31:34.477,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:34.484,RelayFake,RX,ok
2026-04-30T16:31:34.486,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:34.488,RelayFake,RX,ok
2026-04-30T16:31:34.490,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:34.492,RelayFake,RX,ok
2026-04-30T16:31:34.495,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:34.501,RelayFake,RX,ok
2026-04-30T16:31:34.504,PACE5000Fake,TX,set_output(False)
2026-04-30T16:31:34.505,PACE5000Fake,RX,ok
2026-04-30T16:31:34.507,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:31:34.509,PACE5000Fake,RX,ok
2026-04-30T16:31:34.511,PACE5000Fake,TX,vent(True)
2026-04-30T16:31:34.512,PACE5000Fake,RX,ok
2026-04-30T16:31:34.520,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T16:31:34.522,GRZ5013Fake,RX,ok
2026-04-30T16:31:34.524,GRZ5013Fake,TX,set_relative_humidity_pct(50.0)
2026-04-30T16:31:34.525,GRZ5013Fake,RX,ok
2026-04-30T16:31:36.046,PACE5000Fake,TX,set_output(False)
2026-04-30T16:31:36.049,PACE5000Fake,RX,ok
2026-04-30T16:31:36.052,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:31:36.054,PACE5000Fake,RX,ok
2026-04-30T16:31:36.056,PACE5000Fake,TX,vent(True)
2026-04-30T16:31:36.059,PACE5000Fake,RX,ok
2026-04-30T16:31:36.062,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:36.064,RelayFake,RX,ok
2026-04-30T16:31:36.067,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:36.068,RelayFake,RX,ok
2026-04-30T16:31:36.070,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:36.071,RelayFake,RX,ok
2026-04-30T16:31:36.073,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:36.074,RelayFake,RX,ok
2026-04-30T16:31:36.075,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:36.076,RelayFake,RX,ok
2026-04-30T16:31:36.078,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:36.079,RelayFake,RX,ok
2026-04-30T16:31:36.080,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:36.082,RelayFake,RX,ok
2026-04-30T16:31:36.084,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:36.085,RelayFake,RX,ok
2026-04-30T16:31:36.086,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:36.087,RelayFake,RX,ok
2026-04-30T16:31:36.088,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:36.089,RelayFake,RX,ok
2026-04-30T16:31:36.091,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:36.092,RelayFake,RX,ok
