point_index,point_phase,point_tag,route,temperature_c,hgen_temp_c,humidity_pct,co2_ppm,co2_group,cylinder_nominal_ppm,pressure_target_hpa,execution_status,qc_valid,recommendation,reason,raw_sample_count,cleaned_sample_count,usable_sample_count,removed_sample_count,total_frames,valid_frames,frames_with_data,frame_status,pressure_gauge_hpa_mean,pressure_reference_status,thermometer_temp_c_mean,thermometer_reference_status,reference_quality,dew_point_c_mean,AnalyzerCoverage,UsableAnalyzers,ExpectedAnalyzers,PointIntegrity,MissingAnalyzers,UnusableAnalyzers,stability_time_s,total_time_s,pressure_mode,pressure_target_label,pressure_selection_token,postseal_expected_dewpoint_c,postseal_actual_dewpoint_c,postseal_physical_delta_c,postseal_physical_qc_status,postseal_physical_qc_reason,postseal_guard_status,postseal_guard_flags,postseal_timeout_policy,postseal_timeout_blocked,postsample_late_rebound_status,postsample_late_rebound_reason,dewpoint_gate_result,flush_gate_status,flush_gate_reason,dewpoint_rebound_detected,rebound_rise_c,rebound_note,preseal_dewpoint_c,preseal_temp_c,preseal_rh_pct,preseal_pressure_hpa,preseal_trigger_overshoot_hpa,preseal_vent_off_begin_to_route_sealed_ms,pressure_gauge_stale_count,pressure_gauge_total_count,pressure_gauge_stale_ratio
1,co2,co2_groupa_0ppm_1000hpa,co2,10.0,,,0.0,A,0.0,1000.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,6.130273599989602,8/8,8,8,complete,,,0.006659399999989546,0.05926790000012261,sealed_controlled,1000hPa,,,6.002319999990874,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,co2,co2_groupa_100ppm_1000hpa,co2,10.0,,,100.0,A,100.0,1000.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.008888500000466593,0.06158550000145624,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,co2,co2_groupb_1000ppm_1000hpa,co2,10.0,,,1000.0,B,1000.0,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.017147800001112046,0.06998539999949571,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,h2o,h2o_10c_30rh_1000hpa,h2o,10.0,10.0,30.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.012745399999403162,0.06557369999973162,sealed_controlled,1000hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,h2o,h2o_10c_50rh_1000hpa,h2o,10.0,10.0,50.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.006316799999694922,0.05898419999903126,sealed_controlled,1000hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupa_0ppm_800hpa,co2,10.0,,,0.0,A,0.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,6.904961999984524,8/8,8,8,complete,,,0.011269599999650382,0.06447019999905024,sealed_controlled,800hPa,,,6.719961599985261,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupa_100ppm_800hpa,co2,10.0,,,100.0,A,100.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.010910800001511234,0.06321230000139622,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupb_1000ppm_800hpa,co2,10.0,,,1000.0,B,1000.0,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.014229299998987699,0.06711579999864625,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,h2o,h2o_10c_30rh_800hpa,h2o,10.0,10.0,30.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.012305800000831368,0.06598320000011881,sealed_controlled,800hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,h2o,h2o_10c_50rh_800hpa,h2o,10.0,10.0,50.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.008328400001119007,0.06074870000156807,sealed_controlled,800hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,co2,co2_groupa_0ppm_1100hpa,co2,10.0,,,0.0,A,0.0,1100.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,1.771647599995779,8/8,8,8,complete,,,0.0076265999996394385,0.059781599999041646,sealed_controlled,1100hPa,,,-2.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,co2,co2_groupa_100ppm_1100hpa,co2,10.0,,,100.0,A,100.0,1100.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,3.0,8/8,8,8,complete,,,0.010612599999149097,0.0626801999987947,sealed_controlled,1100hPa,,,-2.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,co2,co2_groupb_1000ppm_1100hpa,co2,10.0,,,1000.0,B,1000.0,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,3.0,8/8,8,8,complete,,,0.020910600000206614,0.07671139999911247,sealed_controlled,1100hPa,,,-2.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
3,h2o,h2o_10c_30rh_1100hpa,h2o,10.0,10.0,30.0,,,,1100.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1100.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.014665000000604778,0.06787459999941348,sealed_controlled,1100hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
