timestamp,device,direction,data
2026-04-30T16:31:59.441,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T16:31:59.442,PACE5000Fake,RX,ok
2026-04-30T16:31:59.494,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:59.494,RelayFake,RX,ok
2026-04-30T16:31:59.495,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:59.495,RelayFake,RX,ok
2026-04-30T16:31:59.496,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:59.497,RelayFake,RX,ok
2026-04-30T16:31:59.497,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:31:59.500,RelayFake,RX,ok
2026-04-30T16:31:59.501,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:31:59.501,RelayFake,RX,ok
2026-04-30T16:31:59.502,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:31:59.503,RelayFake,RX,ok
2026-04-30T16:31:59.503,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:31:59.504,RelayFake,RX,ok
2026-04-30T16:31:59.505,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:59.505,RelayFake,RX,ok
2026-04-30T16:31:59.506,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:31:59.507,RelayFake,RX,ok
2026-04-30T16:31:59.508,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:31:59.509,RelayFake,RX,ok
2026-04-30T16:31:59.510,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:31:59.511,RelayFake,RX,ok
2026-04-30T16:31:59.512,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:31:59.513,RelayFake,RX,ok
2026-04-30T16:31:59.513,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:31:59.514,RelayFake,RX,ok
2026-04-30T16:31:59.516,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:31:59.517,RelayFake,RX,ok
2026-04-30T16:31:59.518,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:31:59.519,RelayFake,RX,ok
2026-04-30T16:31:59.519,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:31:59.520,RelayFake,RX,ok
2026-04-30T16:31:59.521,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:31:59.522,RelayFake,RX,ok
2026-04-30T16:31:59.523,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:31:59.523,RelayFake,RX,ok
2026-04-30T16:31:59.525,PACE5000Fake,TX,set_output(False)
2026-04-30T16:31:59.525,PACE5000Fake,RX,ok
2026-04-30T16:31:59.526,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:31:59.527,PACE5000Fake,RX,ok
2026-04-30T16:31:59.528,PACE5000Fake,TX,vent(True)
2026-04-30T16:31:59.529,PACE5000Fake,RX,ok
2026-04-30T16:31:59.531,GRZ5013Fake,TX,set_target_temp(20.0)
2026-04-30T16:31:59.533,GRZ5013Fake,RX,ok
2026-04-30T16:31:59.534,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T16:31:59.535,GRZ5013Fake,RX,ok
2026-04-30T16:31:59.537,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T16:31:59.538,TemperatureChamberFake,RX,ok
2026-04-30T16:31:59.539,TemperatureChamberFake,TX,start()
2026-04-30T16:31:59.540,TemperatureChamberFake,RX,ok
2026-04-30T16:32:00.656,PACE5000Fake,TX,set_output(False)
2026-04-30T16:32:00.657,PACE5000Fake,RX,ok
2026-04-30T16:32:00.658,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:32:00.660,PACE5000Fake,RX,ok
2026-04-30T16:32:00.665,PACE5000Fake,TX,vent(True)
2026-04-30T16:32:00.668,PACE5000Fake,RX,ok
2026-04-30T16:32:00.671,RelayFake,TX,"set_valve(1, False)"
