timestamp,device,direction,data
2026-04-30T16:32:20.761,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T16:32:20.777,PACE5000Fake,RX,ok
2026-04-30T16:32:20.853,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:32:20.860,RelayFake,RX,ok
2026-04-30T16:32:20.874,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:32:20.881,RelayFake,RX,ok
2026-04-30T16:32:20.895,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:32:20.898,RelayFake,RX,ok
2026-04-30T16:32:20.913,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:32:20.926,RelayFake,RX,ok
2026-04-30T16:32:20.929,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:32:20.932,RelayFake,RX,ok
2026-04-30T16:32:20.943,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:32:20.958,RelayFake,RX,ok
2026-04-30T16:32:20.973,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:32:20.983,RelayFake,RX,ok
2026-04-30T16:32:20.992,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:32:21.009,RelayFake,RX,ok
2026-04-30T16:32:21.027,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:32:21.043,RelayFake,RX,ok
2026-04-30T16:32:21.057,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:32:21.069,RelayFake,RX,ok
2026-04-30T16:32:21.076,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:32:21.091,RelayFake,RX,ok
2026-04-30T16:32:21.100,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:32:21.116,RelayFake,RX,ok
2026-04-30T16:32:21.131,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:32:21.141,RelayFake,RX,ok
2026-04-30T16:32:21.156,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:32:21.173,RelayFake,RX,ok
2026-04-30T16:32:21.191,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:32:21.195,RelayFake,RX,ok
2026-04-30T16:32:21.209,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:32:21.213,RelayFake,RX,ok
2026-04-30T16:32:21.215,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:32:21.225,RelayFake,RX,ok
2026-04-30T16:32:21.239,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:32:21.247,RelayFake,RX,ok
2026-04-30T16:32:21.257,PACE5000Fake,TX,set_output(False)
2026-04-30T16:32:21.264,PACE5000Fake,RX,ok
2026-04-30T16:32:21.275,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:32:21.286,PACE5000Fake,RX,ok
2026-04-30T16:32:21.295,PACE5000Fake,TX,vent(True)
2026-04-30T16:32:21.298,PACE5000Fake,RX,ok
2026-04-30T16:32:21.324,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T16:32:21.328,GRZ5013Fake,RX,ok
2026-04-30T16:32:21.331,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T16:32:21.341,GRZ5013Fake,RX,ok
2026-04-30T16:32:21.358,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T16:32:21.361,TemperatureChamberFake,RX,ok
2026-04-30T16:32:21.364,TemperatureChamberFake,TX,start()
2026-04-30T16:32:21.366,TemperatureChamberFake,RX,ok
2026-04-30T16:32:23.543,PACE5000Fake,TX,set_output(False)
2026-04-30T16:32:23.545,PACE5000Fake,RX,ok
2026-04-30T16:32:23.546,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T16:32:23.547,PACE5000Fake,RX,ok
2026-04-30T16:32:23.555,PACE5000Fake,TX,vent(True)
2026-04-30T16:32:23.560,PACE5000Fake,RX,ok
2026-04-30T16:32:23.576,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:32:23.579,RelayFake,RX,ok
2026-04-30T16:32:23.581,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:32:23.591,RelayFake,RX,ok
2026-04-30T16:32:23.601,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:32:23.609,RelayFake,RX,ok
2026-04-30T16:32:23.612,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:32:23.614,RelayFake,RX,ok
2026-04-30T16:32:23.621,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:32:23.627,RelayFake,RX,ok
2026-04-30T16:32:23.642,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:32:23.646,RelayFake,RX,ok
2026-04-30T16:32:23.658,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:32:23.675,RelayFake,RX,ok
2026-04-30T16:32:23.679,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:32:23.681,RelayFake,RX,ok
2026-04-30T16:32:23.696,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:32:23.707,RelayFake,RX,ok
2026-04-30T16:32:23.710,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:32:23.714,RelayFake,RX,ok
2026-04-30T16:32:23.723,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:32:23.732,RelayFake,RX,ok
2026-04-30T16:32:23.742,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:32:23.748,RelayFake,RX,ok
2026-04-30T16:32:23.759,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:32:23.773,RelayFake,RX,ok
2026-04-30T16:32:23.777,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:32:23.780,RelayFake,RX,ok
2026-04-30T16:32:23.787,RelayFake,TX,"set_valve(1, True)"
2026-04-30T16:32:23.799,RelayFake,RX,ok
2026-04-30T16:32:23.810,RelayFake,TX,"set_valve(2, True)"
2026-04-30T16:32:23.813,RelayFake,RX,ok
2026-04-30T16:32:23.814,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:32:23.825,RelayFake,RX,ok
2026-04-30T16:32:23.835,RelayFake,TX,"set_valve(8, True)"
2026-04-30T16:32:23.844,RelayFake,RX,ok
2026-04-30T16:32:24.542,pressure_controller,TX,exit_atmosphere_mode(vent_on=False)
2026-04-30T16:32:24.813,pressure_controller,RX,ok
2026-04-30T16:32:24.842,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:32:24.858,RelayFake,RX,ok
2026-04-30T16:32:24.873,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:32:24.886,RelayFake,RX,ok
2026-04-30T16:32:24.903,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:32:24.920,RelayFake,RX,ok
2026-04-30T16:32:24.926,RelayFake,TX,"set_valve(4, False)"
2026-04-30T16:32:24.952,RelayFake,RX,ok
2026-04-30T16:32:24.960,RelayFake,TX,"set_valve(5, False)"
2026-04-30T16:32:24.964,RelayFake,RX,ok
2026-04-30T16:32:24.977,RelayFake,TX,"set_valve(6, False)"
2026-04-30T16:32:24.994,RelayFake,RX,ok
2026-04-30T16:32:25.016,RelayFake,TX,"set_valve(7, False)"
2026-04-30T16:32:25.032,RelayFake,RX,ok
2026-04-30T16:32:25.059,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:32:25.075,RelayFake,RX,ok
2026-04-30T16:32:25.090,RelayFake,TX,"set_valve(9, False)"
2026-04-30T16:32:25.105,RelayFake,RX,ok
2026-04-30T16:32:25.118,RelayFake,TX,"set_valve(10, False)"
2026-04-30T16:32:25.139,RelayFake,RX,ok
2026-04-30T16:32:25.155,RelayFake,TX,"set_valve(11, False)"
2026-04-30T16:32:25.160,RelayFake,RX,ok
2026-04-30T16:32:25.163,RelayFake,TX,"set_valve(12, False)"
2026-04-30T16:32:25.176,RelayFake,RX,ok
2026-04-30T16:32:25.196,RelayFake,TX,"set_valve(15, False)"
2026-04-30T16:32:25.225,RelayFake,RX,ok
2026-04-30T16:32:25.230,RelayFake,TX,"set_valve(16, False)"
2026-04-30T16:32:25.241,RelayFake,RX,ok
2026-04-30T16:32:25.256,RelayFake,TX,"set_valve(1, False)"
2026-04-30T16:32:25.266,RelayFake,RX,ok
2026-04-30T16:32:25.292,RelayFake,TX,"set_valve(2, False)"
2026-04-30T16:32:25.323,RelayFake,RX,ok
2026-04-30T16:32:25.331,RelayFake,TX,"set_valve(3, False)"
2026-04-30T16:32:25.358,RelayFake,RX,ok
2026-04-30T16:32:25.392,RelayFake,TX,"set_valve(8, False)"
2026-04-30T16:32:25.423,RelayFake,RX,ok
2026-04-30T16:32:25.481,PACE5000Fake,TX,enable_control_output()
