timestamp,device,direction,data
2026-04-30T23:31:36.257,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T23:31:36.259,PACE5000Fake,RX,ok
2026-04-30T23:31:36.313,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T23:31:36.313,TemperatureChamberFake,RX,ok
2026-04-30T23:31:36.314,TemperatureChamberFake,TX,start()
2026-04-30T23:31:36.315,TemperatureChamberFake,RX,ok
2026-04-30T23:31:37.024,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.025,RelayFake,RX,ok
2026-04-30T23:31:37.026,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.028,RelayFake,RX,ok
2026-04-30T23:31:37.029,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:37.029,RelayFake,RX,ok
2026-04-30T23:31:37.030,RelayFake,TX,"set_valve(4, False)"
2026-04-30T23:31:37.031,RelayFake,RX,ok
2026-04-30T23:31:37.032,RelayFake,TX,"set_valve(5, False)"
2026-04-30T23:31:37.033,RelayFake,RX,ok
2026-04-30T23:31:37.033,RelayFake,TX,"set_valve(6, False)"
2026-04-30T23:31:37.034,RelayFake,RX,ok
2026-04-30T23:31:37.035,RelayFake,TX,"set_valve(7, False)"
2026-04-30T23:31:37.036,RelayFake,RX,ok
2026-04-30T23:31:37.037,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:37.037,RelayFake,RX,ok
2026-04-30T23:31:37.038,RelayFake,TX,"set_valve(9, False)"
2026-04-30T23:31:37.039,RelayFake,RX,ok
2026-04-30T23:31:37.041,RelayFake,TX,"set_valve(10, False)"
2026-04-30T23:31:37.043,RelayFake,RX,ok
2026-04-30T23:31:37.044,RelayFake,TX,"set_valve(11, False)"
2026-04-30T23:31:37.046,RelayFake,RX,ok
2026-04-30T23:31:37.047,RelayFake,TX,"set_valve(12, False)"
2026-04-30T23:31:37.047,RelayFake,RX,ok
2026-04-30T23:31:37.048,RelayFake,TX,"set_valve(15, False)"
2026-04-30T23:31:37.049,RelayFake,RX,ok
2026-04-30T23:31:37.049,RelayFake,TX,"set_valve(16, False)"
2026-04-30T23:31:37.050,RelayFake,RX,ok
2026-04-30T23:31:37.051,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.051,RelayFake,RX,ok
2026-04-30T23:31:37.052,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.052,RelayFake,RX,ok
2026-04-30T23:31:37.053,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:37.054,RelayFake,RX,ok
2026-04-30T23:31:37.054,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:37.055,RelayFake,RX,ok
2026-04-30T23:31:37.058,PACE5000Fake,TX,set_output(False)
2026-04-30T23:31:37.059,PACE5000Fake,RX,ok
2026-04-30T23:31:37.061,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T23:31:37.062,PACE5000Fake,RX,ok
2026-04-30T23:31:37.063,PACE5000Fake,TX,vent(True)
2026-04-30T23:31:37.064,PACE5000Fake,RX,ok
2026-04-30T23:31:37.065,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.066,RelayFake,RX,ok
2026-04-30T23:31:37.066,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.067,RelayFake,RX,ok
2026-04-30T23:31:37.068,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:37.068,RelayFake,RX,ok
2026-04-30T23:31:37.069,RelayFake,TX,"set_valve(4, False)"
2026-04-30T23:31:37.070,RelayFake,RX,ok
2026-04-30T23:31:37.070,RelayFake,TX,"set_valve(5, False)"
2026-04-30T23:31:37.071,RelayFake,RX,ok
2026-04-30T23:31:37.072,RelayFake,TX,"set_valve(6, False)"
2026-04-30T23:31:37.073,RelayFake,RX,ok
2026-04-30T23:31:37.075,RelayFake,TX,"set_valve(7, False)"
2026-04-30T23:31:37.076,RelayFake,RX,ok
2026-04-30T23:31:37.078,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:37.079,RelayFake,RX,ok
2026-04-30T23:31:37.080,RelayFake,TX,"set_valve(9, True)"
2026-04-30T23:31:37.080,RelayFake,RX,ok
2026-04-30T23:31:37.081,RelayFake,TX,"set_valve(10, False)"
2026-04-30T23:31:37.082,RelayFake,RX,ok
2026-04-30T23:31:37.083,RelayFake,TX,"set_valve(11, False)"
2026-04-30T23:31:37.083,RelayFake,RX,ok
2026-04-30T23:31:37.084,RelayFake,TX,"set_valve(12, False)"
2026-04-30T23:31:37.085,RelayFake,RX,ok
2026-04-30T23:31:37.085,RelayFake,TX,"set_valve(15, True)"
2026-04-30T23:31:37.086,RelayFake,RX,ok
2026-04-30T23:31:37.087,RelayFake,TX,"set_valve(16, False)"
2026-04-30T23:31:37.087,RelayFake,RX,ok
2026-04-30T23:31:37.088,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.089,RelayFake,RX,ok
2026-04-30T23:31:37.091,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.093,RelayFake,RX,ok
2026-04-30T23:31:37.095,RelayFake,TX,"set_valve(3, True)"
2026-04-30T23:31:37.096,RelayFake,RX,ok
2026-04-30T23:31:37.098,RelayFake,TX,"set_valve(8, True)"
2026-04-30T23:31:37.099,RelayFake,RX,ok
2026-04-30T23:31:37.102,PACE5000Fake,TX,set_output(False)
2026-04-30T23:31:37.103,PACE5000Fake,RX,ok
2026-04-30T23:31:37.104,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T23:31:37.104,PACE5000Fake,RX,ok
2026-04-30T23:31:37.105,PACE5000Fake,TX,vent(True)
2026-04-30T23:31:37.108,PACE5000Fake,RX,ok
2026-04-30T23:31:37.152,pressure_controller,TX,exit_atmosphere_mode(vent_on=False)
2026-04-30T23:31:37.404,pressure_controller,RX,ok
2026-04-30T23:31:37.408,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.409,RelayFake,RX,ok
2026-04-30T23:31:37.411,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.412,RelayFake,RX,ok
2026-04-30T23:31:37.413,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:37.414,RelayFake,RX,ok
2026-04-30T23:31:37.414,RelayFake,TX,"set_valve(4, False)"
2026-04-30T23:31:37.415,RelayFake,RX,ok
2026-04-30T23:31:37.416,RelayFake,TX,"set_valve(5, False)"
2026-04-30T23:31:37.417,RelayFake,RX,ok
2026-04-30T23:31:37.417,RelayFake,TX,"set_valve(6, False)"
2026-04-30T23:31:37.418,RelayFake,RX,ok
2026-04-30T23:31:37.419,RelayFake,TX,"set_valve(7, False)"
2026-04-30T23:31:37.420,RelayFake,RX,ok
2026-04-30T23:31:37.420,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:37.421,RelayFake,RX,ok
2026-04-30T23:31:37.422,RelayFake,TX,"set_valve(9, False)"
2026-04-30T23:31:37.423,RelayFake,RX,ok
2026-04-30T23:31:37.425,RelayFake,TX,"set_valve(10, False)"
2026-04-30T23:31:37.427,RelayFake,RX,ok
2026-04-30T23:31:37.429,RelayFake,TX,"set_valve(11, False)"
2026-04-30T23:31:37.430,RelayFake,RX,ok
2026-04-30T23:31:37.432,RelayFake,TX,"set_valve(12, False)"
2026-04-30T23:31:37.433,RelayFake,RX,ok
2026-04-30T23:31:37.434,RelayFake,TX,"set_valve(15, False)"
2026-04-30T23:31:37.435,RelayFake,RX,ok
2026-04-30T23:31:37.436,RelayFake,TX,"set_valve(16, False)"
2026-04-30T23:31:37.437,RelayFake,RX,ok
2026-04-30T23:31:37.438,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.439,RelayFake,RX,ok
2026-04-30T23:31:37.441,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.443,RelayFake,RX,ok
2026-04-30T23:31:37.444,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:37.445,RelayFake,RX,ok
2026-04-30T23:31:37.446,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:37.447,RelayFake,RX,ok
2026-04-30T23:31:37.449,PACE5000Fake,TX,enable_control_output()
2026-04-30T23:31:37.450,PACE5000Fake,RX,ok
2026-04-30T23:31:37.515,PACE5000Fake,TX,enable_control_output()
2026-04-30T23:31:37.516,PACE5000Fake,RX,ok
2026-04-30T23:31:37.583,PACE5000Fake,TX,enable_control_output()
2026-04-30T23:31:37.584,PACE5000Fake,RX,ok
2026-04-30T23:31:37.651,PACE5000Fake,TX,enable_control_output()
2026-04-30T23:31:37.652,PACE5000Fake,RX,ok
2026-04-30T23:31:37.719,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:37.720,RelayFake,RX,ok
2026-04-30T23:31:37.721,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:37.722,RelayFake,RX,ok
2026-04-30T23:31:37.724,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:37.726,RelayFake,RX,ok
2026-04-30T23:31:37.728,RelayFake,TX,"set_valve(4, False)"
2026-04-30T23:31:37.729,RelayFake,RX,ok
2026-04-30T23:31:37.730,RelayFake,TX,"set_valve(5, False)"
