timestamp,point_index,point_phase,point_tag,temperature_c,co2_ppm,co2_group,cylinder_nominal_ppm,analyzer_id,humidity_pct,route,sample_co2_ppm,sample_h2o_mmol,h2o_signal,co2_signal,co2_ratio_f,co2_ratio_raw,h2o_ratio_f,h2o_ratio_raw,ref_signal,pressure_hpa,pressure_gauge_hpa,pressure_reference_status,thermometer_temp_c,thermometer_reference_status,dew_point_c,analyzer_pressure_kpa,analyzer_chamber_temp_c,case_temp_c,frame_has_data,frame_usable,frame_status,sample_index,stability_time_s,total_time_s
2026-04-30T15:31:37.454780+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,2.0,2.0,40.0,0.04,0.04,0.02,0.02,1001.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.454846+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,2.15,2.15,42.0,0.042,0.042,0.0215,0.0215,1002.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.454898+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.3,2.3,44.0,0.044,0.044,0.023,0.023,1003.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.454953+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.45,2.45,46.0,0.046,0.046,0.0245,0.0245,1004.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.455000+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.6,2.6,48.0,0.048,0.048,0.026000000000000002,0.026000000000000002,1005.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.455049+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.75,2.75,50.0,0.05,0.05,0.0275,0.0275,1006.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.455094+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.9,2.9,52.0,0.052,0.052,0.028999999999999998,0.028999999999999998,1007.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.455140+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,3.05,3.05,54.0,0.054,0.054,0.0305,0.0305,1008.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506171+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506292+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506366+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506430+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506481+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506535+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506591+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.506651+00:00,8,co2,co2_groupa_400ppm_1100hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,1100.0,1100.0,healthy,,,12.0,110.0,25.0,25.0,True,True,ok,2,0.005055600002378924,0.058052399999724
2026-04-30T15:31:37.520654+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.520719+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.520772+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.520822+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.520869+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.520925+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.520978+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.521022+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,1,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572204+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572274+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572336+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572396+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572467+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572540+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572636+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.572738+00:00,6,co2,co2_groupa_400ppm_1000hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,1000.0,1000.0,healthy,,,12.0,100.0,25.0,25.0,True,True,ok,2,0.005044100002123741,0.058182200002192985
2026-04-30T15:31:37.588102+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588168+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588219+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588269+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588316+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588364+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588408+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.588453+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,1,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639334+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639435+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639498+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639555+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639607+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639675+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639727+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.639776+00:00,7,co2,co2_groupa_400ppm_800hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,800.0,800.0,healthy,,,12.0,80.0,25.0,25.0,True,True,ok,2,0.005143100002896972,0.05770860000120592
2026-04-30T15:31:37.656221+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656369+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656484+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656604+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656720+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656827+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656907+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.656975+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,1,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708426+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga01,,co2,40.0,1.75,1.75,40.0,0.04,0.04,0.0175,0.0175,1001.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708506+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga02,,co2,42.0,1.9,1.9,42.0,0.042,0.042,0.019,0.019,1002.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708560+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga03,,co2,44.0,2.05,2.05,44.0,0.044,0.044,0.020499999999999997,0.020499999999999997,1003.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708613+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga04,,co2,46.0,2.2,2.2,46.0,0.046,0.046,0.022000000000000002,0.022000000000000002,1004.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708666+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga05,,co2,48.0,2.35,2.35,48.0,0.048,0.048,0.0235,0.0235,1005.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708720+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga06,,co2,50.0,2.5,2.5,50.0,0.05,0.05,0.025,0.025,1006.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708769+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga07,,co2,52.0,2.65,2.65,52.0,0.052,0.052,0.0265,0.0265,1007.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:37.708820+00:00,10,co2,co2_groupa_400ppm_600hpa,20.0,400.0,A,400.0,ga08,,co2,54.0,2.8,2.8,54.0,0.054,0.054,0.027999999999999997,0.027999999999999997,1008.0,600.0,600.0,healthy,,,12.0,60.0,25.0,25.0,True,True,ok,2,0.00499850000051083,0.05854900000122143
2026-04-30T15:31:38.790864+00:00,8,co2,co2_groupb_1000ppm_1100hpa,20.0,1000.0,B,1000.0,ga01,,co2,100.0,2.0,2.0,100.0,0.1,0.1,0.02,0.02,1001.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.5123757000001206,0.5673944000009215
2026-04-30T15:31:38.791061+00:00,8,co2,co2_groupb_1000ppm_1100hpa,20.0,1000.0,B,1000.0,ga02,,co2,102.0,2.15,2.15,102.0,0.102,0.102,0.0215,0.0215,1002.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.5123757000001206,0.5673944000009215
2026-04-30T15:31:38.791174+00:00,8,co2,co2_groupb_1000ppm_1100hpa,20.0,1000.0,B,1000.0,ga03,,co2,104.0,2.3,2.3,104.0,0.104,0.104,0.023,0.023,1003.0,1100.0,1100.0,healthy,,,8.0,110.0,20.0,20.0,True,True,ok,1,0.5123757000001206,0.5673944000009215
