timestamp,device,direction,data
2026-04-30T23:31:02.345,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T23:31:02.346,PACE5000Fake,RX,ok
2026-04-30T23:31:02.398,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:02.399,RelayFake,RX,ok
2026-04-30T23:31:02.399,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:02.400,RelayFake,RX,ok
2026-04-30T23:31:02.400,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:02.401,RelayFake,RX,ok
2026-04-30T23:31:02.401,RelayFake,TX,"set_valve(4, False)"
2026-04-30T23:31:02.402,RelayFake,RX,ok
2026-04-30T23:31:02.402,RelayFake,TX,"set_valve(5, False)"
2026-04-30T23:31:02.403,RelayFake,RX,ok
2026-04-30T23:31:02.404,RelayFake,TX,"set_valve(6, False)"
2026-04-30T23:31:02.404,RelayFake,RX,ok
2026-04-30T23:31:02.405,RelayFake,TX,"set_valve(7, False)"
2026-04-30T23:31:02.405,RelayFake,RX,ok
2026-04-30T23:31:02.408,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:02.409,RelayFake,RX,ok
2026-04-30T23:31:02.411,RelayFake,TX,"set_valve(9, False)"
2026-04-30T23:31:02.412,RelayFake,RX,ok
2026-04-30T23:31:02.413,RelayFake,TX,"set_valve(10, False)"
2026-04-30T23:31:02.413,RelayFake,RX,ok
2026-04-30T23:31:02.414,RelayFake,TX,"set_valve(11, False)"
2026-04-30T23:31:02.414,RelayFake,RX,ok
2026-04-30T23:31:02.415,RelayFake,TX,"set_valve(12, False)"
2026-04-30T23:31:02.416,RelayFake,RX,ok
2026-04-30T23:31:02.416,RelayFake,TX,"set_valve(15, False)"
2026-04-30T23:31:02.417,RelayFake,RX,ok
2026-04-30T23:31:02.417,RelayFake,TX,"set_valve(16, False)"
2026-04-30T23:31:02.418,RelayFake,RX,ok
2026-04-30T23:31:02.419,RelayFake,TX,"set_valve(1, False)"
2026-04-30T23:31:02.419,RelayFake,RX,ok
2026-04-30T23:31:02.420,RelayFake,TX,"set_valve(2, False)"
2026-04-30T23:31:02.420,RelayFake,RX,ok
2026-04-30T23:31:02.421,RelayFake,TX,"set_valve(3, False)"
2026-04-30T23:31:02.422,RelayFake,RX,ok
2026-04-30T23:31:02.422,RelayFake,TX,"set_valve(8, False)"
2026-04-30T23:31:02.424,RelayFake,RX,ok
2026-04-30T23:31:02.427,PACE5000Fake,TX,set_output(False)
2026-04-30T23:31:02.428,PACE5000Fake,RX,ok
2026-04-30T23:31:02.429,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T23:31:02.430,PACE5000Fake,RX,ok
2026-04-30T23:31:02.431,PACE5000Fake,TX,vent(True)
2026-04-30T23:31:02.432,PACE5000Fake,RX,ok
