point_index,point_phase,point_tag,route,temperature_c,hgen_temp_c,humidity_pct,co2_ppm,co2_group,cylinder_nominal_ppm,pressure_target_hpa,execution_status,qc_valid,recommendation,reason,raw_sample_count,cleaned_sample_count,usable_sample_count,removed_sample_count,total_frames,valid_frames,frames_with_data,frame_status,pressure_gauge_hpa_mean,pressure_reference_status,thermometer_temp_c_mean,thermometer_reference_status,reference_quality,dew_point_c_mean,AnalyzerCoverage,UsableAnalyzers,ExpectedAnalyzers,PointIntegrity,MissingAnalyzers,UnusableAnalyzers,stability_time_s,total_time_s,pressure_mode,pressure_target_label,pressure_selection_token,postseal_expected_dewpoint_c,postseal_actual_dewpoint_c,postseal_physical_delta_c,postseal_physical_qc_status,postseal_physical_qc_reason,postseal_guard_status,postseal_guard_flags,postseal_timeout_policy,postseal_timeout_blocked,postsample_late_rebound_status,postsample_late_rebound_reason,dewpoint_gate_result,flush_gate_status,flush_gate_reason,dewpoint_rebound_detected,rebound_rise_c,rebound_note,preseal_dewpoint_c,preseal_temp_c,preseal_rh_pct,preseal_pressure_hpa,preseal_trigger_overshoot_hpa,preseal_vent_off_begin_to_route_sealed_ms,pressure_gauge_stale_count,pressure_gauge_total_count,pressure_gauge_stale_ratio
1,co2,co2_groupa_0ppm_1000hpa,co2,10.0,,,0.0,A,0.0,1000.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,4.810086799971765,8/8,8,8,complete,,,0.009261399998649722,0.06122070000128588,sealed_controlled,1000hPa,,,4.660198399977531,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,co2,co2_groupa_100ppm_1000hpa,co2,10.0,,,100.0,A,100.0,1000.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.011022800001228461,0.06292870000106632,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,co2,co2_groupb_1000ppm_1000hpa,co2,10.0,,,1000.0,B,1000.0,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.008767100000113714,0.061913199999253266,sealed_controlled,1000hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,h2o,h2o_10c_30rh_1000hpa,h2o,10.0,10.0,30.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.008063299999776063,0.06088820000150008,sealed_controlled,1000hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
1,h2o,h2o_10c_50rh_1000hpa,h2o,10.0,10.0,50.0,,,,1000.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,1000.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.010370700001658406,0.06431370000063907,sealed_controlled,1000hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupa_0ppm_800hpa,co2,10.0,,,0.0,A,0.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,5.569352799959605,8/8,8,8,complete,,,0.009073400000488618,0.060993800001597265,sealed_controlled,800hPa,,,5.41679679995287,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupa_100ppm_800hpa,co2,10.0,,,100.0,A,100.0,800.0,rejected,False,review,"time_not_continuous,signal_span_too_wide",16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.008695299999089912,0.06124360000103479,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,co2,co2_groupb_1000ppm_800hpa,co2,10.0,,,1000.0,B,1000.0,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,8.0,8/8,8,8,complete,,,0.010560499998973683,0.062383099997532554,sealed_controlled,800hPa,,,8.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,h2o,h2o_10c_30rh_800hpa,h2o,10.0,10.0,30.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,-4.0,8/8,8,8,complete,,,0.006316899998637382,0.058838199998717755,sealed_controlled,800hPa,,,-4.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
2,h2o,h2o_10c_50rh_800hpa,h2o,10.0,10.0,50.0,,,,800.0,rejected,False,review,time_not_continuous,16,16,16,0,16,16,16,ok,800.0,healthy,,,healthy,0.0,8/8,8,8,complete,,,0.01213820000339183,0.06433540000216453,sealed_controlled,800hPa,,,0.0,,skipped,,skipped,,,,skipped,,,,,,,,,,,,,,0,16,0.0
