timestamp,device,direction,data
2026-04-30T14:13:01.689,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T14:13:01.691,PACE5000Fake,RX,ok
2026-04-30T14:13:01.751,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:01.752,RelayFake,RX,ok
2026-04-30T14:13:01.754,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:01.755,RelayFake,RX,ok
2026-04-30T14:13:01.756,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:01.756,RelayFake,RX,ok
2026-04-30T14:13:01.758,RelayFake,TX,"set_valve(4, False)"
2026-04-30T14:13:01.760,RelayFake,RX,ok
2026-04-30T14:13:01.762,RelayFake,TX,"set_valve(5, False)"
2026-04-30T14:13:01.764,RelayFake,RX,ok
2026-04-30T14:13:01.765,RelayFake,TX,"set_valve(6, False)"
2026-04-30T14:13:01.766,RelayFake,RX,ok
2026-04-30T14:13:01.766,RelayFake,TX,"set_valve(7, False)"
2026-04-30T14:13:01.767,RelayFake,RX,ok
2026-04-30T14:13:01.769,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:01.770,RelayFake,RX,ok
2026-04-30T14:13:01.772,RelayFake,TX,"set_valve(9, False)"
2026-04-30T14:13:01.773,RelayFake,RX,ok
2026-04-30T14:13:01.778,RelayFake,TX,"set_valve(10, False)"
2026-04-30T14:13:01.782,RelayFake,RX,ok
2026-04-30T14:13:01.784,RelayFake,TX,"set_valve(11, False)"
2026-04-30T14:13:01.786,RelayFake,RX,ok
2026-04-30T14:13:01.788,RelayFake,TX,"set_valve(12, False)"
2026-04-30T14:13:01.791,RelayFake,RX,ok
2026-04-30T14:13:01.795,RelayFake,TX,"set_valve(15, False)"
2026-04-30T14:13:01.797,RelayFake,RX,ok
2026-04-30T14:13:01.798,RelayFake,TX,"set_valve(16, False)"
2026-04-30T14:13:01.800,RelayFake,RX,ok
2026-04-30T14:13:01.802,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:01.804,RelayFake,RX,ok
2026-04-30T14:13:01.805,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:01.807,RelayFake,RX,ok
2026-04-30T14:13:01.810,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:01.814,RelayFake,RX,ok
2026-04-30T14:13:01.817,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:01.818,RelayFake,RX,ok
2026-04-30T14:13:01.822,PACE5000Fake,TX,set_output(False)
2026-04-30T14:13:01.823,PACE5000Fake,RX,ok
2026-04-30T14:13:01.824,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T14:13:01.827,PACE5000Fake,RX,ok
2026-04-30T14:13:01.830,PACE5000Fake,TX,vent(True)
2026-04-30T14:13:01.832,PACE5000Fake,RX,ok
2026-04-30T14:13:01.835,GRZ5013Fake,TX,set_target_temp(10.0)
2026-04-30T14:13:01.837,GRZ5013Fake,RX,ok
2026-04-30T14:13:01.838,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T14:13:01.839,GRZ5013Fake,RX,ok
2026-04-30T14:13:01.841,TemperatureChamberFake,TX,set_temp_c(10.0)
2026-04-30T14:13:01.844,TemperatureChamberFake,RX,ok
2026-04-30T14:13:01.847,TemperatureChamberFake,TX,start()
2026-04-30T14:13:01.848,TemperatureChamberFake,RX,ok
2026-04-30T14:13:03.979,PACE5000Fake,TX,set_output(False)
2026-04-30T14:13:03.980,PACE5000Fake,RX,ok
2026-04-30T14:13:03.981,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T14:13:03.982,PACE5000Fake,RX,ok
2026-04-30T14:13:03.983,PACE5000Fake,TX,vent(True)
2026-04-30T14:13:03.984,PACE5000Fake,RX,ok
2026-04-30T14:13:03.988,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:03.989,RelayFake,RX,ok
2026-04-30T14:13:03.991,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:03.995,RelayFake,RX,ok
2026-04-30T14:13:03.998,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:04.001,RelayFake,RX,ok
2026-04-30T14:13:04.003,RelayFake,TX,"set_valve(4, False)"
2026-04-30T14:13:04.005,RelayFake,RX,ok
2026-04-30T14:13:04.006,RelayFake,TX,"set_valve(5, False)"
2026-04-30T14:13:04.007,RelayFake,RX,ok
2026-04-30T14:13:04.009,RelayFake,TX,"set_valve(6, False)"
2026-04-30T14:13:04.011,RelayFake,RX,ok
2026-04-30T14:13:04.013,RelayFake,TX,"set_valve(7, False)"
2026-04-30T14:13:04.014,RelayFake,RX,ok
2026-04-30T14:13:04.015,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:04.016,RelayFake,RX,ok
2026-04-30T14:13:04.018,RelayFake,TX,"set_valve(9, False)"
