timestamp,device,direction,data
2026-04-30T14:13:32.000,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T14:13:32.002,PACE5000Fake,RX,ok
2026-04-30T14:13:32.055,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:32.056,RelayFake,RX,ok
2026-04-30T14:13:32.056,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:32.059,RelayFake,RX,ok
2026-04-30T14:13:32.062,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:32.066,RelayFake,RX,ok
2026-04-30T14:13:32.068,RelayFake,TX,"set_valve(4, False)"
2026-04-30T14:13:32.070,RelayFake,RX,ok
2026-04-30T14:13:32.071,RelayFake,TX,"set_valve(5, False)"
2026-04-30T14:13:32.071,RelayFake,RX,ok
2026-04-30T14:13:32.072,RelayFake,TX,"set_valve(6, False)"
2026-04-30T14:13:32.073,RelayFake,RX,ok
2026-04-30T14:13:32.076,RelayFake,TX,"set_valve(7, False)"
2026-04-30T14:13:32.081,RelayFake,RX,ok
2026-04-30T14:13:32.083,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:32.084,RelayFake,RX,ok
2026-04-30T14:13:32.085,RelayFake,TX,"set_valve(9, False)"
2026-04-30T14:13:32.086,RelayFake,RX,ok
2026-04-30T14:13:32.086,RelayFake,TX,"set_valve(10, False)"
2026-04-30T14:13:32.087,RelayFake,RX,ok
2026-04-30T14:13:32.088,RelayFake,TX,"set_valve(11, False)"
2026-04-30T14:13:32.089,RelayFake,RX,ok
2026-04-30T14:13:32.090,RelayFake,TX,"set_valve(12, False)"
2026-04-30T14:13:32.091,RelayFake,RX,ok
2026-04-30T14:13:32.094,RelayFake,TX,"set_valve(15, False)"
2026-04-30T14:13:32.095,RelayFake,RX,ok
2026-04-30T14:13:32.097,RelayFake,TX,"set_valve(16, False)"
2026-04-30T14:13:32.098,RelayFake,RX,ok
2026-04-30T14:13:32.099,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:32.100,RelayFake,RX,ok
2026-04-30T14:13:32.101,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:32.101,RelayFake,RX,ok
2026-04-30T14:13:32.102,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:32.103,RelayFake,RX,ok
2026-04-30T14:13:32.104,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:32.105,RelayFake,RX,ok
2026-04-30T14:13:32.108,PACE5000Fake,TX,set_output(False)
2026-04-30T14:13:32.112,PACE5000Fake,RX,ok
2026-04-30T14:13:32.115,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T14:13:32.119,PACE5000Fake,RX,ok
2026-04-30T14:13:32.120,PACE5000Fake,TX,vent(True)
2026-04-30T14:13:32.121,PACE5000Fake,RX,ok
2026-04-30T14:13:32.127,GRZ5013Fake,TX,set_target_temp(20.0)
2026-04-30T14:13:32.129,GRZ5013Fake,RX,ok
2026-04-30T14:13:32.131,GRZ5013Fake,TX,set_relative_humidity_pct(30.0)
2026-04-30T14:13:32.132,GRZ5013Fake,RX,ok
2026-04-30T14:13:32.134,TemperatureChamberFake,TX,set_temp_c(20.0)
2026-04-30T14:13:32.135,TemperatureChamberFake,RX,ok
2026-04-30T14:13:32.136,TemperatureChamberFake,TX,start()
2026-04-30T14:13:32.137,TemperatureChamberFake,RX,ok
2026-04-30T14:13:33.254,PACE5000Fake,TX,set_output(False)
2026-04-30T14:13:33.256,PACE5000Fake,RX,ok
2026-04-30T14:13:33.258,PACE5000Fake,TX,set_isolation_open(True)
2026-04-30T14:13:33.265,PACE5000Fake,RX,ok
2026-04-30T14:13:33.268,PACE5000Fake,TX,vent(True)
2026-04-30T14:13:33.269,PACE5000Fake,RX,ok
2026-04-30T14:13:33.271,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:33.272,RelayFake,RX,ok
2026-04-30T14:13:33.273,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:33.276,RelayFake,RX,ok
2026-04-30T14:13:33.280,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:33.283,RelayFake,RX,ok
2026-04-30T14:13:33.286,RelayFake,TX,"set_valve(4, False)"
2026-04-30T14:13:33.288,RelayFake,RX,ok
2026-04-30T14:13:33.290,RelayFake,TX,"set_valve(5, False)"
2026-04-30T14:13:33.293,RelayFake,RX,ok
2026-04-30T14:13:33.297,RelayFake,TX,"set_valve(6, False)"
2026-04-30T14:13:33.300,RelayFake,RX,ok
2026-04-30T14:13:33.302,RelayFake,TX,"set_valve(7, False)"
2026-04-30T14:13:33.303,RelayFake,RX,ok
2026-04-30T14:13:33.304,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:33.305,RelayFake,RX,ok
2026-04-30T14:13:33.306,RelayFake,TX,"set_valve(9, False)"
2026-04-30T14:13:33.307,RelayFake,RX,ok
2026-04-30T14:13:33.310,RelayFake,TX,"set_valve(10, False)"
2026-04-30T14:13:33.314,RelayFake,RX,ok
2026-04-30T14:13:33.317,RelayFake,TX,"set_valve(11, False)"
2026-04-30T14:13:33.319,RelayFake,RX,ok
2026-04-30T14:13:33.320,RelayFake,TX,"set_valve(12, False)"
2026-04-30T14:13:33.322,RelayFake,RX,ok
2026-04-30T14:13:33.323,RelayFake,TX,"set_valve(15, False)"
2026-04-30T14:13:33.325,RelayFake,RX,ok
2026-04-30T14:13:33.331,RelayFake,TX,"set_valve(16, False)"
2026-04-30T14:13:33.334,RelayFake,RX,ok
