timestamp,device,direction,data
2026-04-30T14:13:41.753,PACE5000Fake,TX,"set_in_limits(0.02, 10.0)"
2026-04-30T14:13:41.753,PACE5000Fake,RX,ok
2026-04-30T14:13:41.806,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:41.806,RelayFake,RX,ok
2026-04-30T14:13:41.807,RelayFake,TX,"set_valve(2, False)"
2026-04-30T14:13:41.810,RelayFake,RX,ok
2026-04-30T14:13:41.813,RelayFake,TX,"set_valve(3, False)"
2026-04-30T14:13:41.817,RelayFake,RX,ok
2026-04-30T14:13:41.818,RelayFake,TX,"set_valve(4, False)"
2026-04-30T14:13:41.819,RelayFake,RX,ok
2026-04-30T14:13:41.820,RelayFake,TX,"set_valve(5, False)"
2026-04-30T14:13:41.821,RelayFake,RX,ok
2026-04-30T14:13:41.822,RelayFake,TX,"set_valve(6, False)"
2026-04-30T14:13:41.823,RelayFake,RX,ok
2026-04-30T14:13:41.825,RelayFake,TX,"set_valve(7, False)"
2026-04-30T14:13:41.829,RelayFake,RX,ok
2026-04-30T14:13:41.832,RelayFake,TX,"set_valve(8, False)"
2026-04-30T14:13:41.834,RelayFake,RX,ok
2026-04-30T14:13:41.835,RelayFake,TX,"set_valve(9, False)"
2026-04-30T14:13:41.836,RelayFake,RX,ok
2026-04-30T14:13:41.837,RelayFake,TX,"set_valve(10, False)"
2026-04-30T14:13:41.837,RelayFake,RX,ok
2026-04-30T14:13:41.838,RelayFake,TX,"set_valve(11, False)"
2026-04-30T14:13:41.839,RelayFake,RX,ok
2026-04-30T14:13:41.840,RelayFake,TX,"set_valve(12, False)"
2026-04-30T14:13:41.841,RelayFake,RX,ok
2026-04-30T14:13:41.845,RelayFake,TX,"set_valve(15, False)"
2026-04-30T14:13:41.846,RelayFake,RX,ok
2026-04-30T14:13:41.847,RelayFake,TX,"set_valve(16, False)"
2026-04-30T14:13:41.848,RelayFake,RX,ok
2026-04-30T14:13:41.849,RelayFake,TX,"set_valve(1, False)"
2026-04-30T14:13:41.850,RelayFake,RX,ok
2026-04-30T14:13:41.851,RelayFake,TX,"set_valve(2, False)"
