timestamp,port,device,direction,command,response,error
2026-04-20T12:47:15.603,COM31,pace5000,OPEN,open,,
2026-04-20T12:47:15.603,COM31,pace5000,TX,*IDN?\n,,
2026-04-20T12:47:16.691,COM31,pace5000,RX,,"*IDN GE Druck,Pace5000 User Interface,3213201,02.00.07",
2026-04-20T12:47:16.692,COM31,pace5000,TX,:INST:MOD?\n,,
2026-04-20T12:47:17.743,COM31,pace5000,RX,,,
2026-04-20T12:47:18.747,COM31,pace5000,RX,,,
2026-04-20T12:47:18.748,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:47:19.808,COM31,pace5000,RX,,:OUTP:STAT 0,
2026-04-20T12:47:19.808,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:47:20.903,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,
2026-04-20T12:47:20.904,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:47:21.983,COM31,pace5000,RX,,":SYST:ERR -102,""Syntax error""",
2026-04-20T12:47:21.983,COM31,pace5000,TX,:OUTP:STAT 1\n,,
2026-04-20T12:47:21.996,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:47:23.057,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:47:23.058,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:47:24.119,COM31,pace5000,RX,,:OUTP:STAT 1,
2026-04-20T12:47:24.120,COM31,pace5000,TX,:OUTP 1\n,,
2026-04-20T12:47:24.127,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:47:25.186,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:47:25.186,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:47:26.250,COM31,pace5000,RX,,:OUTP:STAT 1,
2026-04-20T12:47:26.251,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:47:27.302,COM31,pace5000,RX,,:OUTP:STAT 1,
2026-04-20T12:47:27.303,COM31,pace5000,TX,:OUTP:STAT 0\n,,
2026-04-20T12:47:27.316,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:47:28.371,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:47:28.372,COM31,pace5000,TX,:OUTP:ISOL:STAT?\n,,
2026-04-20T12:47:29.435,COM31,pace5000,RX,,:OUTP:ISOL:STAT 1,
2026-04-20T12:47:29.435,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT 1\n,,
2026-04-20T12:47:29.467,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:47:30.593,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:47:30.594,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:47:31.686,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 1,
2026-04-20T12:47:32.187,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:47:33.285,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 1,
2026-04-20T12:47:33.786,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:47:34.886,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,
2026-04-20T12:47:34.886,COM31,pace5000,TX,:INST:VERS?\n,,
2026-04-20T12:47:35.948,COM31,pace5000,RX,,":INST:VERS ""02.00.07""",
2026-04-20T12:47:35.948,COM31,pace5000,TX,:SOUR:PRES:LEV:IMM:AMPL:VENT?\n,,
2026-04-20T12:47:37.072,COM31,pace5000,RX,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,
2026-04-20T12:47:37.072,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:47:38.274,COM31,pace5000,RX,,:OUTP:STAT 0,
2026-04-20T12:47:38.274,COM31,pace5000,TX,:OUTP:ISOL:STAT?\n,,
2026-04-20T12:47:39.341,COM31,pace5000,RX,,:OUTP:ISOL:STAT 1,
2026-04-20T12:47:39.341,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:47:40.402,COM31,pace5000,RX,,":SYST:ERR 0, No error",
2026-04-20T12:47:40.418,COM31,pace5000,CLOSE,close,,
