timestamp,port,device,direction,command,response,error
2026-04-20T12:51:00.225,COM31,pace5000,OPEN,open,,
2026-04-20T12:51:00.226,COM31,pace5000,TX,*IDN?\n,,
2026-04-20T12:51:01.315,COM31,pace5000,RX,,"*IDN GE Druck,Pace5000 User Interface,3213201,02.00.07",
2026-04-20T12:51:01.315,COM31,pace5000,TX,:INST:MOD?\n,,
2026-04-20T12:51:02.381,COM31,pace5000,RX,,,
2026-04-20T12:51:03.383,COM31,pace5000,RX,,,
2026-04-20T12:51:03.383,COM31,pace5000,TX,:SYST:ERR?\n,,
2026-04-20T12:51:04.450,COM31,pace5000,RX,,":SYST:ERR -102,""Syntax error""",
2026-04-20T12:51:04.451,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:51:05.548,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:51:05.549,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:51:06.646,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:51:06.646,COM31,pace5000,TX,:SOUR:PRES:RANG?\n,,
2026-04-20T12:51:07.726,COM31,pace5000,RX,,":SOUR:PRES:RANG ""2.00bara""",
2026-04-20T12:51:07.726,COM31,pace5000,TX,:UNIT:PRES?\n,,
2026-04-20T12:51:08.778,COM31,pace5000,RX,,:UNIT:PRES HPA,
2026-04-20T12:51:08.778,COM31,pace5000,TX,:SOUR:PRES:INL?\n,,
2026-04-20T12:51:09.846,COM31,pace5000,RX,,:SOUR:PRES:INL 0.0200000,
2026-04-20T12:51:09.847,COM31,pace5000,TX,:SOUR:PRES:INL:TIME?\n,,
2026-04-20T12:51:10.931,COM31,pace5000,RX,,:SOUR:PRES:INL:TIME 10,
2026-04-20T12:51:10.932,COM31,pace5000,TX,:UNIT:PRES?\n,,
2026-04-20T12:51:11.997,COM31,pace5000,RX,,:UNIT:PRES HPA,
2026-04-20T12:51:11.998,COM31,pace5000,TX,:INST:CAT:ALL?\n,,
2026-04-20T12:51:13.087,COM31,pace5000,RX,,":INST:CAT:ALL ""1.00barg"",""BAROMETER"",""2.00bara""",
2026-04-20T12:51:13.088,COM31,pace5000,TX,:SOUR:PRES:RANG?\n,,
2026-04-20T12:51:14.153,COM31,pace5000,RX,,":SOUR:PRES:RANG ""2.00bara""",
2026-04-20T12:51:14.153,COM31,pace5000,TX,:SOUR:PRES:RANG?\n,,
2026-04-20T12:51:15.219,COM31,pace5000,RX,,":SOUR:PRES:RANG ""2.00bara""",
2026-04-20T12:51:15.220,COM31,pace5000,TX,:OUTP:STAT?\n,,
2026-04-20T12:51:16.286,COM31,pace5000,RX,,:OUTP:STAT 0,
2026-04-20T12:51:16.286,COM31,pace5000,TX,:OUTP:ISOL:STAT?\n,,
