point_name,route_kind,root_classification,lineage_classification,artifact_path,artifact_sha256,artifact_sha256_matches,schema_has_required_fields,grades,ratio_tols,ratio_a_tols,is_mature_threshold_authority
p001_T40_0ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,912d563ad4d55b9ae6f7a1fd281bd08e91a539fd12d356036055938b62ad49ed,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p002_T40_400ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,d194db980dad9c051e343d2c7974da9c865537578a97c5a1eda485507eef73d0,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",[0.001],[0.0005],False
p003_T40_1000ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,498a624c39035b0348848339642360a7ce2b2f3fa9917418fa4686863d4fbe5b,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p004_T30_0ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,2b0c9992f2d03ccef194fe047bbac15aa9f84aa507725f72d59c213fa47876eb,True,True,"{""A_calibration_eligible"": 4, ""C_reject"": 2}",[0.001],[0.0005],False
p005_T30_100ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,38d235f489ec20c6912a1aacdf946e456e833c7e36294997ec04e7c30bcfb5e4,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",[0.001],[0.0005],False
p006_T30_200ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,aeb97f2067f34353f875e93e29523ab48d8b410105b27181e23d2e52c938143c,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p007_T30_300ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,606669bdae6eaf0999ffa27628cf6a396e73d3b23cc4b8814dc8c570ca59c19e,True,True,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",[0.001],[0.0005],False
p008_T30_400ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,e264d0f43845f4cb34bedfd94a6222b6036062cedeac403794c1ae8328718c8d,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p009_T30_500ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,412bdd63eb99f5aaa4a11d055047a5533c5481da6325e49eb5469792177aa451,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 1, ""C_reject"": 3}",[0.001],[0.0005],False
p010_T30_600ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p010_T30_600ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,a0564fb6e7eb76c7c58676fc044fd7923d08a0b17d3701ec100d430def9dd958,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p011_T30_700ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p011_T30_700ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,3f629131889058716225d41837567958997d8f00a852e7e3a8cb0c9fd680cb2d,True,True,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",[0.001],[0.0005],False
p012_T30_800ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p012_T30_800ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,0890a2e8b146e9381c0d63c41c1aaa6b3722acc8d97ab5993ebf18aca97dcd7c,True,True,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 2, ""C_reject"": 1}",[0.001],[0.0005],False
p013_T30_900ppm_fit,co2,forbidden_0624_or_migration,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p013_T30_900ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,658785dfac125a89f23e898ce239a66a3f03820fa46b2a830658577b952d5f6c,True,True,"{""A_calibration_eligible"": 1, ""B_diagnostic_model_only"": 4, ""C_reject"": 1}",[0.001],[0.0005],False
