database_schema,table_name,present,columns,unique_constraints,indexes,physical_role
core_storage,sensors,True,sensor_id;device_key;sn_code;device_code;analyzer_id;analyzer_serial;software_version;model;channel_type;metadata,uq_sensors_device_code;uq_sensors_device_key;uq_sensors_sn_code,ix_sensors_channel_type;ix_sensors_device_code;ix_sensors_legacy_identity;ix_sensors_serial;ix_sensors_sn_code,canonical analyzer identity table; sn_code/device_code are production primary identity fields
core_storage,sensor_identity_aliases,True,id;sensor_id;alias_type;alias_value;source_run_id;observed_at;valid_from;valid_to;metadata,uq_sensor_identity_alias_source,ix_sensor_identity_alias_lookup;ix_sensor_identity_alias_run;ix_sensor_identity_alias_sensor,compatibility aliases including protocol device ID and historical analyzer serials
core_storage,runs,True,id;start_time;end_time;status;config_hash;software_version;run_mode;route_mode;profile_name;profile_version;report_family;report_templates;analyzer_setup;operator;total_points;successful_points;failed_points;warnings;errors;notes,,ix_runs_mode_profile;ix_runs_operator;ix_runs_time_window,formal calibration/run session metadata
core_storage,points,True,id;run_id;sequence;temperature_c;humidity_rh;pressure_hpa;route_type;co2_target_ppm;co2_group;cylinder_nominal_ppm;status;stability_time_s;total_time_s;retry_count,uq_points_run_sequence,ix_points_group_nominal;ix_points_route_status;ix_points_run_id,physical CO2/H2O calibration point schedule and status
core_storage,samples,True,id;point_id;sensor_id;analyzer_id;analyzer_serial;sample_index;timestamp;co2_ppm;h2o_mmol;pressure_hpa;co2_ratio_f;h2o_ratio_f;co2_ratio_raw;h2o_ratio_raw;chamber_temp_c;case_temp_c;dewpoint_c,uq_samples_point_analyzer_index,ix_samples_analyzer;ix_samples_point_id;ix_samples_sensor_id;ix_samples_timestamp,per-point summarized analyzer sample rows
core_storage,measurement_frames,True,id;run_id;point_id;sensor_id;sample_index;sample_ts;analyzer_label;analyzer_id;analyzer_serial;frame_has_data;frame_usable;analyzer_status;mode;mode2_field_count;co2_ppm;h2o_mmol;co2_ratio_f;h2o_ratio_f;co2_ratio_raw;h2o_ratio_raw;ref_signal;co2_signal;h2o_signal;chamber_temp_c;case_temp_c;pressure_kpa;raw_payload;context_payload,uq_measurement_frames_natural_key,ix_measurement_frames_analyzer_time;ix_measurement_frames_point_sample;ix_measurement_frames_run_time;ix_measurement_frames_sensor_id,raw/parsed frame-level evidence with natural key per point/analyzer/sample timestamp
core_storage,qc_results,True,id;point_id;rule_name;passed;value;threshold;message,uq_qc_results_point_rule_message,ix_qc_results_passed;ix_qc_results_point_id,programmatic quality gates and reject/pass reasons
core_storage,fit_results,True,id;run_id;sensor_id;analyzer_id;algorithm;coefficients;rmse;r_squared;n_points,uq_fit_results_run_analyzer_algorithm,ix_fit_results_analyzer;ix_fit_results_run_id;ix_fit_results_sensor_id,candidate fit outputs before controlled write review
core_storage,coefficient_versions,True,id;sensor_id;analyzer_id;analyzer_serial;version;coefficients;created_at;created_by;approved;approved_by;approved_at;deployed;deployed_at;notes,uq_coefficient_versions_analyzer_version,ix_coefficient_versions_deployed;ix_coefficient_versions_lookup;ix_coefficient_versions_sensor_id,versioned coefficient payloads and approval/deployment state
core_storage,device_events,True,id;run_id;device_name;event_type;event_data;timestamp,,ix_device_events_run_id;ix_device_events_timestamp,GETCO/SN/runtime/CHECK/writeback/archive sidecar events
core_storage,alarms_incidents,True,id;run_id;severity;category;message;details;timestamp;resolved;resolved_at,uq_alarms_incidents_natural_key,ix_alarms_incidents_run_id;ix_alarms_incidents_severity;ix_alarms_incidents_timestamp,operator/reviewer-visible warnings and failure records
