source_role,route_kind,point_name,point_dir,planned_output_path,source_artifact_count,source_packet_sha256,plan_candidate_ready,blocker_codes,manual_gate_review_required,operation_role,would_evaluate,would_derive_grades,would_write,overwrite_allowed,requires_distinct_authorization,formal_fit_allowed,preflight_json_sha256
p2_catalog_point,co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,4e9e616530b68fe84363498e11dfdc85039242a817f181fab08e79b5eed7fad4,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,a4a63995ddf99843596f706f47337ace84d3e03b21761817a37b7ee71461fa5b,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,87198c4dd3973f6ca9d72a8f068c2db61fe4bc8153e2cc0e350c8b6eb0b23616,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,7e16eedf04eb821d80b919898d5cdcb9a05ee3744982f57136848c482b18643f,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,3bc1432a5869c1d2e53b47093ef76ef6924ab5430a7b8f138683102c1f7c1e3a,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,6abcd29d4d009af92a53284875be2624657c9686a61e6092638d31e3908f85c1,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,07e0fbd2be686d2a18b9f8216d1e4437bf53b5b9860ec96535506bf12adc63e8,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,bb11b78447733b9d61a71500552be4e1ea5f94e42c21b819d67ccdda78343307,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p004_T30_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,d732bea0150aa003451c96bee93a31d6326201cecd4cbcdc6cc29b43a71dceb8,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
p2_catalog_point,co2,p005_T30_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,4a99cc42a6aa854fef4320d9b4da175f4ddd3c5f5faf70098346ececb2aa23b4,True,[],True,review_only_would_write_preview,False,False,False,False,True,False,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772
