candidate_index,route_kind,point_name,point_dir,planned_output_path,source_artifact_count,source_packet_sha256,preflight_json_sha256,blocked_plan_json_sha256,candidate_binding_sha256,binding_ready_for_design_review,blocker_codes,payload_derivation_supported,write_execution_supported,target_create_mode,overwrite_allowed,manual_gate_review_required
1,co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,4e9e616530b68fe84363498e11dfdc85039242a817f181fab08e79b5eed7fad4,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,70c60446b9cd72cebbea49a97f0fc1ce293cbfd66e401c184b63b379c23d8baf,True,[],False,False,exclusive_create_only_future_contract,False,True
2,co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,a4a63995ddf99843596f706f47337ace84d3e03b21761817a37b7ee71461fa5b,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,90e2d8a0dc18be7777060272c72f026f9c291335f07f5ad96eca8bb72a4db50b,True,[],False,False,exclusive_create_only_future_contract,False,True
3,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,87198c4dd3973f6ca9d72a8f068c2db61fe4bc8153e2cc0e350c8b6eb0b23616,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,db0cdbd58465a44c2d91a83d0fff83561c2374393fb8348f92664aa8aea6b5dd,True,[],False,False,exclusive_create_only_future_contract,False,True
4,co2,p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,5,7e16eedf04eb821d80b919898d5cdcb9a05ee3744982f57136848c482b18643f,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,aaadb8a521dd8fbbbb9f945dd46578a223d4d80f87cce3813ec6f2a07da6a9c6,True,[],False,False,exclusive_create_only_future_contract,False,True
5,co2,p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,3bc1432a5869c1d2e53b47093ef76ef6924ab5430a7b8f138683102c1f7c1e3a,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,8e8d62ee94ba56dc0105059a836760d0ba12b99526fe057d2914fc34e301f42b,True,[],False,False,exclusive_create_only_future_contract,False,True
6,co2,p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,6abcd29d4d009af92a53284875be2624657c9686a61e6092638d31e3908f85c1,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,ce9be7077eb9131ac29520e545e34c343c0cf62144818db56f25f5a5605173a2,True,[],False,False,exclusive_create_only_future_contract,False,True
7,co2,p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,07e0fbd2be686d2a18b9f8216d1e4437bf53b5b9860ec96535506bf12adc63e8,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,ab1d67f092c033a005590926b8c5a9305019144bf5c405da4b561cb6cb9c17a5,True,[],False,False,exclusive_create_only_future_contract,False,True
8,co2,p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,bb11b78447733b9d61a71500552be4e1ea5f94e42c21b819d67ccdda78343307,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,eaf2effbe01aa3eea5baa4990ad570252a536e4c205b12d718f8fd3b2b421abf,True,[],False,False,exclusive_create_only_future_contract,False,True
9,co2,p004_T30_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,d732bea0150aa003451c96bee93a31d6326201cecd4cbcdc6cc29b43a71dceb8,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,03abc0b6858b47edeb4845b7869d24c002c92ffd3dfc7e3b3adc01cf07d7c4ae,True,[],False,False,exclusive_create_only_future_contract,False,True
10,co2,p005_T30_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,4a99cc42a6aa854fef4320d9b4da175f4ddd3c5f5faf70098346ececb2aa23b4,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,2fa564abf0d0209a954a2d46513231e1b4a180510cd62ce5a020bfa6b6f0ffb8,True,[],False,False,exclusive_create_only_future_contract,False,True
