source_role,route_kind,point_name,point_dir,preflight_status,preflight_ready,blocker_codes,manual_gate_review_required,sample_alignment_false_count,point_quality_blocked_count,purge_below_declared_minimum,planned_output_path,planned_output_exists,historical_component_qc_generation_allowed,historical_component_qc_write_allowed,formal_fit_allowed
p2_catalog_point,co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,input_packet_ready_for_manual_review,True,[],True,7,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,input_packet_ready_for_manual_review,True,[],True,9,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,input_packet_ready_for_manual_review,True,[],True,7,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,input_packet_ready_for_manual_review,True,[],True,7,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,input_packet_ready_for_manual_review,True,[],True,7,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,input_packet_ready_for_manual_review,True,[],True,6,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit,input_packet_ready_for_manual_review,True,[],True,8,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit,input_packet_ready_for_manual_review,True,[],True,8,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p004_T30_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit,input_packet_ready_for_manual_review,True,[],True,7,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
p2_catalog_point,co2,p005_T30_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit,input_packet_ready_for_manual_review,True,[],True,8,0,False,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,False,False,False,False
