summary_path,summary_sha256,manifest_path,manifest_sha256,queue_source_path,queue_source_sha256,runtime_config_path,runtime_config_sha256,output_root,queue_run_id,route_kind,selected_points,ok_points,failed_points,dry_run,matching_profile_ids,point_directories,sidecars,samples,component_qc,classification,eligible_for_attestation_input,blocker_count,blocker_codes,historical_fit_allowed
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g2\co2_6old_0620clean_mature45_g2\queue_summary.json,5c7c6b1171067e28e23b9a9d106b1eec3b5548a241cce0f5b104009c9e790b85,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g2,co2_6old_0620clean_mature45_g2,co2,45,,,False,"[""legacy_ratio_production""]",0,0,0,0,review_required,False,4,"[""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g1\queue_summary.json,5b24f1572d0652ee6b9bd0442bd1e59fd82930b3f95ea4ed7196ae6618991301,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\h2o_runner_queue.csv,d95068b8285e62e4e5ac5dc56dbf9353b77a38b4f6dced658199cd22db0f9cfa,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g1,h2o_6old_0620clean_mature13_g1,h2o,13,0.0,0.0,False,"[""legacy_ratio_production""]",0,0,0,0,review_required,False,4,"[""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g2\queue_summary.json,43cec69edb9e5213d38d61e7eb1cc16506bcaf261bcd692df0280fe01c377f87,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\h2o_runner_queue.csv,d95068b8285e62e4e5ac5dc56dbf9353b77a38b4f6dced658199cd22db0f9cfa,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g2,h2o_6old_0620clean_mature13_g2,h2o,13,0.0,0.0,False,"[""legacy_ratio_production""]",0,0,0,0,review_required,False,4,"[""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g3\queue_summary.json,e4b7e367afd7cf33cf8f94adf2daf38da110eb7d2896868737163e57d8778beb,,,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\h2o_runner_queue.csv,d95068b8285e62e4e5ac5dc56dbf9353b77a38b4f6dced658199cd22db0f9cfa,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g3,h2o_6old_0620clean_mature13_g3,h2o,13,0.0,0.0,False,"[""legacy_ratio_production""]",0,0,0,0,review_required,False,4,"[""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\co2_6old_0620clean_mature45_g3_finalparams\queue_summary.json,8cdcd9b698cfe4dfc0d9c61c6e98ce8f7be96ea80dea7a565eb6b961745df208,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\co2_6old_0620clean_mature45_g3_finalparams\queue_manifest.csv,17b9480fce5d3ed716f1847592619c192bc9a05f3daf8a91c6e40017c0899003,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams,co2_6old_0620clean_mature45_g3_finalparams,co2,45,,,False,"[""legacy_ratio_production""]",3,3,2,0,review_required,False,6,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4\queue_summary.json,741d36601b2dbf03454849e3cf0b2a44a6830c64812d2b7168a9847d68e3522f,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4\queue_manifest.csv,065a0169da24155b89ed273d5be86c1f13b4cf9c1b86d6aae80d0d0ea9050f74,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\h2o_runner_queue.csv,d95068b8285e62e4e5ac5dc56dbf9353b77a38b4f6dced658199cd22db0f9cfa,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4,h2o_6old_0620clean_mature13_g4,h2o,13,1.0,1.0,False,"[""legacy_ratio_production""]",2,1,1,0,review_required,False,7,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\queue_summary.json,c85082daf5b294aacae11d1210ed6ae2ff16c2c4555ea6079ef9e8133ec802d2,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\queue_manifest.csv,533ff989331fb0c03c441ddebedf61a8266cada16608fe8abb76ca8435bd1a8b,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\h2o_remaining_p003_p013_queue.csv,ffa60831606925c4ff0575d9e67c877cb248d49dad1c05118c894abebcd0543c,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5,h2o_6old_0620clean_mature13_remaining_p003_p013_g5,h2o,11,11.0,0.0,False,[],11,11,11,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_K_post_senco24_verification_25c_305070_v1\h2o_K_post_senco24_verify_25c_305070_v1\queue_summary.json,47f5b2419236506637c4c478312b3a1534e5e85e44296da5c3674d22bb8548cf,D:\gas_calibrator\_p9_20260707\h2o_K_post_senco24_verification_25c_305070_v1\h2o_K_post_senco24_verify_25c_305070_v1\queue_manifest.csv,5acd3a10bcb4078236d5a8cb1350f1f3ddec2ddc3cd4ad2150e2dccd90ae3bcf,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_queue.csv,f92fe93d9702bf010b1740771ddd3e270ab879492900238db7436c57b603d803,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_K_post_senco24_verification_25c_305070_v1,h2o_K_post_senco24_verify_25c_305070_v1,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v2\queue_summary.json,1ce5a5c15f57fdcc1ed92501dad72d67e99bcf55e9e338a502a315fd5a4ba729,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v2\queue_manifest.csv,fdc5af63e300dc92963f2b0153d8604e3b91310030430e23baf089c5076fa482,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v2\h2o_lowrh_state_cycle_25c_30_50_30_queue.csv,c75044009b9ed9edc88a2d909e1396d084d4096c4ac0d15cb5d68573fa9738d7,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v2,h2o_lowrh_state_cycle_25c_30_50_30_v2,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_v1\queue_summary.json,2314f259aa94b5120053026188d8ad80becc75d79631af516b79dc0f760ee0b3,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_v1\queue_manifest.csv,897d24b6405b56886f739f233e885f07ff8df2609dfa24412fb260318d0efa6a,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1\h2o_post_final_senco246_verify_25c_305070_queue.csv,f92fe93d9702bf010b1740771ddd3e270ab879492900238db7436c57b603d803,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_post_final_senco246_verification_25c_305070_v1,h2o_post_final_senco246_verify_25c_305070_v1,h2o,3,3.0,0.0,False,[],3,3,3,0,review_required,False,3,"[""formal_route_readiness_not_pass"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete""]",False
