family_id,route_kind,point_id,point_index,temp_c,co2_ppm,hgen_c,rh_pct,point_path,has_conclusion_summary,has_frame_quality_summary,has_formal_quality_by_analyzer,quality_source,analyzer_rows,fit_eligible_rows,rejected_rows,grade_counts,conclusion_risk_level,status,exclusion_reason
mature_0620_legacy_ratio,co2,p001_T40_0ppm_fit,1,40.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000;ratio_span=0.0017000>tol=0.0010000
mature_0620_legacy_ratio,co2,p002_T40_400ppm_fit,2,40.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,3,3,"{""A_calibration_eligible"": 3, ""B_diagnostic_model_only"": 1, ""C_reject"": 2}",fail,fail,ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p003_T40_1000ppm_fit,3,40.0,1000.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0013000>tol=0.0010000;ratio_span=0.0015000>tol=0.0010000
mature_0620_legacy_ratio,co2,p004_T30_0ppm_fit,4,30.0,0.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,4,2,"{""A_calibration_eligible"": 4, ""C_reject"": 2}",fail,fail,ratio_span=0.0010000>tol=0.0010000;ratio_span=0.0018000>tol=0.0010000
mature_0620_legacy_ratio,co2,p005_T30_100ppm_fit,5,30.0,100.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 2, ""C_reject"": 2}",fail,fail,ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0014000>tol=0.0010000
mature_0620_legacy_ratio,co2,p006_T30_200ppm_fit,6,30.0,200.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0007000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0016000>tol=0.0010000
mature_0620_legacy_ratio,co2,p007_T30_300ppm_fit,7,30.0,300.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,1,5,"{""A_calibration_eligible"": 1, ""C_reject"": 5}",fail,fail,ratio_span=0.0032000>tol=0.0010000;ratio_span=0.0034000>tol=0.0010000;ratio_span=0.0035000>tol=0.0010000;ratio_span=0.0043000>tol=0.0010000
mature_0620_legacy_ratio,co2,p008_T30_400ppm_fit,8,30.0,400.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0009000>a_tol=0.0005000;ratio_span=0.0013000>tol=0.0010000
mature_0620_legacy_ratio,co2,p009_T30_500ppm_fit,9,30.0,500.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 1, ""C_reject"": 3}",fail,fail,ratio_span=0.0006000>a_tol=0.0005000;ratio_span=0.0010000>tol=0.0010000;ratio_span=0.0023000>tol=0.0010000
mature_0620_legacy_ratio,co2,p010_T30_600ppm_fit,10,30.0,600.0,,,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p010_T30_600ppm_fit,True,True,True,formal_open_flow_data_quality_by_analyzer,6,2,4,"{""A_calibration_eligible"": 2, ""B_diagnostic_model_only"": 3, ""C_reject"": 1}",fail,fail,ratio_span=0.0008000>a_tol=0.0005000;ratio_span=0.0010000>a_tol=0.0005000;ratio_span=0.0011000>tol=0.0010000
