root_key,family_id,route_kind,root_path,code,detail
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,0624_source_forbidden,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2 mature_0620_legacy_ratio mature_0620_legacy_ratio_co2 current6_20260624_r10_co2_continuous_full45_task_direct D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,migration_source_forbidden,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2 mature_0620_legacy_ratio mature_0620_legacy_ratio_co2 current6_20260624_r10_co2_continuous_full45_task_direct D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,direct_source_forbidden,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2 mature_0620_legacy_ratio mature_0620_legacy_ratio_co2 current6_20260624_r10_co2_continuous_full45_task_direct D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,queue_point_not_ok,p040_Tm10_0ppm_fit
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,queue_point_not_ok,p041_Tm10_400ppm_fit
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,queue_summary_not_closed_clean_nowrite,
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,point_samples_missing,p040_Tm10_0ppm_fit
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,point_component_quality_missing,p040_Tm10_0ppm_fit
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,point_samples_missing,p041_Tm10_400ppm_fit
mature_0620_legacy_ratio:co2,mature_0620_legacy_ratio,co2,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,point_component_quality_missing,p041_Tm10_400ppm_fit
