root_key,role,path,size_bytes,sha256
mature_0620_legacy_ratio:co2,queue_summary,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\current6_20260624_r10_co2_continuous_full45_task_direct\queue_summary.json,4803,b50613711dcc84dd393ba8c676361ffe4e05753661c4d65020486d613aabea28
mature_0620_legacy_ratio:co2,queue_manifest,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\current6_20260624_r10_co2_continuous_full45_task_direct\queue_manifest.csv,77311,843fb5877455ab24eff1379778020465a80084097587ef48b7703e4039ce807a
mature_0620_legacy_ratio:co2,point_sidecar,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\formal_open_flow_sidecar_metadata.json,1200,ed2c5221f108aadf8ab56c1b5c07510a1aab26dae1723cec6d6a90e8373a1fc4
mature_0620_legacy_ratio:co2,point_samples,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\samples_machine_readable.csv,49680,0d348ff41c6c8b6f06d40affe118a90969ff23745fbfc93c653e57e29d0c62d7
mature_0620_legacy_ratio:co2,point_component_quality,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,891,912d563ad4d55b9ae6f7a1fd281bd08e91a539fd12d356036055938b62ad49ed
mature_0620_legacy_ratio:co2,point_sidecar,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\formal_open_flow_sidecar_metadata.json,1204,6381162dd9e05cb53c1f08394b983e4eb0ff8e99a2056a352a4e35447b096032
mature_0620_legacy_ratio:co2,point_samples,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\samples_machine_readable.csv,49901,5ac9275d7fa6860daefb18065d33fd13a51c8b501f787907348462b52c344a48
mature_0620_legacy_ratio:co2,point_component_quality,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,854,d194db980dad9c051e343d2c7974da9c865537578a97c5a1eda485507eef73d0
mature_0620_legacy_ratio:co2,point_sidecar,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\formal_open_flow_sidecar_metadata.json,1206,bc2b03ea08e4aee88a92da187a24c7085334d2c7dde3f6bbc59e73418fb1cff4
mature_0620_legacy_ratio:co2,point_samples,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\samples_machine_readable.csv,50010,b4098a72382c00f25b2689df09a385169d190ae2a261ab9f9a39d5eeb0187d5a
mature_0620_legacy_ratio:co2,point_component_quality,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,891,498a624c39035b0348848339642360a7ce2b2f3fa9917418fa4686863d4fbe5b
mature_0620_legacy_ratio:co2,point_sidecar,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\formal_open_flow_sidecar_metadata.json,1200,6fb1a3a92f1a482ad8060e4f0c5993e32fc437bcb27a8122e397a3eea9ca5cf4
mature_0620_legacy_ratio:co2,point_samples,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\samples_machine_readable.csv,49662,d61baa3c7a7cc3a66c0dfbfaf71ca0b4a899fe1f96b908d3fa3f79a9ec77bcc8
mature_0620_legacy_ratio:co2,point_component_quality,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,815,2b0c9992f2d03ccef194fe047bbac15aa9f84aa507725f72d59c213fa47876eb
mature_0620_legacy_ratio:co2,point_sidecar,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\formal_open_flow_sidecar_metadata.json,1206,08809af34cbb5e021919f7ac66a6964fd210261c898550612d0e7ac9b5a34a8a
mature_0620_legacy_ratio:co2,point_samples,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\samples_machine_readable.csv,49885,634e0a87c80eef0b3dd7e80cd07e463ab67f6a4595569fe618c89901a3767194
mature_0620_legacy_ratio:co2,point_component_quality,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,891,38d235f489ec20c6912a1aacdf946e456e833c7e36294997ec04e7c30bcfb5e4
mature_0620_legacy_ratio:co2,point_sidecar,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\formal_open_flow_sidecar_metadata.json,1204,06548ff800794e8db21fae5f20dd99904734e176c7f327236b6e7b8ca8519500
mature_0620_legacy_ratio:co2,point_samples,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\samples_machine_readable.csv,49887,60bc8e7467407e985eec9595feef3af3c99b42793825dff0d4cc007c6a0eac3d
mature_0620_legacy_ratio:co2,point_component_quality,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,906,aeb97f2067f34353f875e93e29523ab48d8b410105b27181e23d2e52c938143c
