point_dir,route_kind,artifact_role,artifact_path,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,integrity_status
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,891,891,912d563ad4d55b9ae6f7a1fd281bd08e91a539fd12d356036055938b62ad49ed,912d563ad4d55b9ae6f7a1fd281bd08e91a539fd12d356036055938b62ad49ed,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\formal_open_flow_route_timing.json,566,566,2adf219922f8f0677f7347e5af9330ecfb9c623215a76460facd3945cac39787,2adf219922f8f0677f7347e5af9330ecfb9c623215a76460facd3945cac39787,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\formal_open_flow_sidecar_metadata.json,1200,1200,ed2c5221f108aadf8ab56c1b5c07510a1aab26dae1723cec6d6a90e8373a1fc4,ed2c5221f108aadf8ab56c1b5c07510a1aab26dae1723cec6d6a90e8373a1fc4,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\frame_quality_summary.csv,484,484,06554fea1aa002e0b9f84768a6cd2d4d99ddc773167bb5fe5d564d5117fc85fd,06554fea1aa002e0b9f84768a6cd2d4d99ddc773167bb5fe5d564d5117fc85fd,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,co2,runtime_config_snapshot.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\runtime_config_snapshot.json,50343,50343,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,co2,samples_machine_readable.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit\samples_machine_readable.csv,49680,49680,0d348ff41c6c8b6f06d40affe118a90969ff23745fbfc93c653e57e29d0c62d7,0d348ff41c6c8b6f06d40affe118a90969ff23745fbfc93c653e57e29d0c62d7,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,co2,formal_open_flow_data_quality_by_analyzer.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,854,854,d194db980dad9c051e343d2c7974da9c865537578a97c5a1eda485507eef73d0,d194db980dad9c051e343d2c7974da9c865537578a97c5a1eda485507eef73d0,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,co2,formal_open_flow_route_timing.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\formal_open_flow_route_timing.json,570,570,899a96c0966be6f3f1b54ba6d57e6199410975e453e6db71306cf97a1dc62967,899a96c0966be6f3f1b54ba6d57e6199410975e453e6db71306cf97a1dc62967,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,co2,formal_open_flow_sidecar_metadata.json,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\formal_open_flow_sidecar_metadata.json,1204,1204,6381162dd9e05cb53c1f08394b983e4eb0ff8e99a2056a352a4e35447b096032,6381162dd9e05cb53c1f08394b983e4eb0ff8e99a2056a352a4e35447b096032,match
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,co2,frame_quality_summary.csv,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit\frame_quality_summary.csv,496,496,b2d6a75d3d5a8c329017d63140b0d5e91f14b08b4f3e43a129c75552fd42e6ab,b2d6a75d3d5a8c329017d63140b0d5e91f14b08b4f3e43a129c75552fd42e6ab,match
