role,relative_path,status,sha256
production_gap_freeze,docs\v1_5_flow_contract\final_production_gap_freeze\v1_5_final_production_gap_freeze.json,bound,3fc73e53cdb617f6a5ef95ceae9b664f176cf3803f124179d146e8f9d8032d08
full_flow_plan,docs\v1_5_flow_contract\v1_5_full_flow_plan.json,bound,e24c376d89c65a72c5aa1b9b62be08eb2ee7c7c4d4001019c8c127f99e4c9ea9
batch_initialization_closeout,docs\v1_5_flow_contract\batch_initialization_closeout_index\v1_5_batch_initialization_closeout_index.json,bound,0017691c7862369eb02af0937debb228f44f4741d3c2fc47c39fef806f9aa8b7
pressure_s9_readiness,docs\v1_5_flow_contract\pressure_s9_readiness_index\v1_5_pressure_s9_readiness_index.json,bound,5aef7e0c8253e4d4b9240fa18cb0404158730cc0fde56f97a2b2904052ac6897
production_entrypoint_gate,docs\v1_5_flow_contract\production_entrypoint_gate\v1_5_production_entrypoint_gate.json,bound,c689d3883fc8c40f3e4a1d1908fb86daf368ae454b9b447832beef115d5680a1
mature_route_contract,docs\v1_5_flow_contract\mature_route_contract\v1_5_mature_route_contract.json,bound,7f40a81ca97d8f09c6dd0d1593d615c498823760c38f849dd8c5b6a6ac03d359
historical_replay_contract,docs\v1_5_flow_contract\historical_replay_contract\v1_5_historical_replay_contract.json,bound,693722af369a8bd00e46a05991c278f88f03e97253ce6ab01d1fff6fbe83ef21
legacy_evidence_catalog,docs\v1_5_flow_contract\legacy_historical_evidence_catalog\v1_5_legacy_historical_evidence_catalog.json,bound,c8d3b75540788f71803ca7c3934c5fc107988f2067db6a4b6c40dfec14d3a28a
historical_mature_root_discovery,docs\v1_5_flow_contract\historical_mature_root_discovery\v1_5_historical_mature_root_discovery.json,bound,7e357c7c6caa8bc7e15adb83245723d012844f82c387abd92c4e39ad05193309
component_qc_writer_design,docs\v1_5_flow_contract\historical_component_qc_controlled_writer_design\v1_5_historical_component_qc_controlled_writer_design.json,bound,dfaa33579eed28f1bacb3ea108b8c78e992e6d11865b44d5c0bd9a1327fb233d
formal_run_status,docs\v1_5_flow_contract\final_acceptance_status\v1_5_formal_run_status.json,bound,ea35b214d630da22bb8a2b9ce15fc886b9a1d34ccbcffe78ce7bafdb21fb19a4
postgresql18_import_design,docs\v1_5_flow_contract\formal_database_import_controlled_executor_design\v1_5_formal_database_import_controlled_executor_design.json,bound,09915de44989c32d69bb5c5a2edf0b2c0c00de36de0a2e3094c318f4d7064693
