canonical_index,temp_c,co2_ppm,run_name,point_name,point_dir,source_kind,candidate_status,route_opened,sampling_before_route_close,analyzer_rows,min_total_frames,min_valid_frames,min_valid_ratio,warning,route_opened_at,sample_window_started_at,sample_window_ended_at,route_closed_at,acceptance_status,alternate_candidate_count,manifest_path,manifest_sha256,manifest_missing,point_dir_exists,diagnostic_composite_only,continuous_route_attestation_allowed,formal_fit_allowed,formal_release_allowed,database_import_allowed
1,40,0,co2_6old_0620clean_mature45_g3_finalparams,p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T13:15:01.012,2026-07-05T13:24:00.198,2026-07-05T13:24:17.306,2026-07-05T13:24:18.219,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
2,40,400,co2_6old_0620clean_mature45_g3_finalparams,p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,retry_or_direct_recovery,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T14:13:52.141,2026-07-05T14:19:42.477,2026-07-05T14:20:00.344,2026-07-05T14:20:01.488,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
3,40,1000,co2_6old_0620clean_mature45_g3_finalparams,p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,parent_queue_stopped_context_but_point_log_and_route_timing_valid,2026-07-05T14:00:45.325,2026-07-05T14:06:31.294,2026-07-05T14:06:49.104,2026-07-05T14:06:49.753,accepted_with_warning,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
4,30,0,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,9,9,1.0,min_valid_frames_9;min_total_frames_9,2026-07-05T15:06:57.574,2026-07-05T15:14:46.284,2026-07-05T15:15:15.680,2026-07-05T15:15:20.865,accepted_with_warning,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
5,30,100,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T15:16:44.752,2026-07-05T15:26:10.343,2026-07-05T15:26:36.148,2026-07-05T15:26:37.660,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
6,30,200,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T15:27:50.091,2026-07-05T15:36:26.810,2026-07-05T15:36:44.968,2026-07-05T15:36:46.042,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
7,30,300,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p004_T30_300ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p004_T30_300ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T15:38:00.381,2026-07-05T15:50:23.261,2026-07-05T15:50:40.465,2026-07-05T15:50:41.384,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
8,30,400,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p005_T30_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p005_T30_400ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T15:51:50.747,2026-07-05T15:57:31.788,2026-07-05T15:57:51.268,2026-07-05T15:57:52.384,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
9,30,500,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p006_T30_500ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p006_T30_500ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T15:59:02.425,2026-07-05T16:10:17.990,2026-07-05T16:10:36.404,2026-07-05T16:10:37.148,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
10,30,600,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,p007_T30_600ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p007_T30_600ppm_fit,queue_child,candidate_valid_by_physical_and_frame_gates,True,True,6,10,10,1.0,,2026-07-05T16:11:47.929,2026-07-05T16:19:03.510,2026-07-05T16:19:24.154,2026-07-05T16:19:24.880,accepted,0,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_acceptance_manifest_20260706\accepted_co2_45_point_manifest.csv,d5a973766315abbbd8859f8069d179aaed6e2820382c51d786008122b0565b5f,False,True,True,False,False,False,False
