root_path,root_classification,point_dir,point_name,route_kind,lineage_classification,provenance_blocker_codes,accepted_manifest_member,accepted_manifest_source_kind,accepted_manifest_status,accepted_manifest_warning,has_sidecar,has_samples,has_component_qc,has_frame_qc,artifact_count,artifacts,diagnostic_data_review_allowed,traceability_review_required,continuous_route_attestation_allowed,formal_fit_allowed,formal_release_allowed,database_import_allowed
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p001_T40_0ppm_fit,p001_T40_0ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p001_T40_0ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""912d563ad4d55b9ae6f7a1fd281bd08e91a539fd12d356036055938b62ad49ed"", ""size_bytes"": 891}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p001_T40_0ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""2adf219922f8f0677f7347e5af9330ecfb9c623215a76460facd3945cac39787"", ""size_bytes"": 566}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p001_T40_0ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""ed2c5221f108aadf8ab56c1b5c07510a1aab26dae1723cec6d6a90e8373a1fc4"", ""size_bytes"": 1200}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p001_T40_0ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""06554fea1aa002e0b9f84768a6cd2d4d99ddc773167bb5fe5d564d5117fc85fd"", ""size_bytes"": 484}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p001_T40_0ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p001_T40_0ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""0d348ff41c6c8b6f06d40affe118a90969ff23745fbfc93c653e57e29d0c62d7"", ""size_bytes"": 49680}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p002_T40_400ppm_fit,p002_T40_400ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p002_T40_400ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""d194db980dad9c051e343d2c7974da9c865537578a97c5a1eda485507eef73d0"", ""size_bytes"": 854}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p002_T40_400ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""899a96c0966be6f3f1b54ba6d57e6199410975e453e6db71306cf97a1dc62967"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p002_T40_400ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""6381162dd9e05cb53c1f08394b983e4eb0ff8e99a2056a352a4e35447b096032"", ""size_bytes"": 1204}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p002_T40_400ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""b2d6a75d3d5a8c329017d63140b0d5e91f14b08b4f3e43a129c75552fd42e6ab"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p002_T40_400ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p002_T40_400ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""5ac9275d7fa6860daefb18065d33fd13a51c8b501f787907348462b52c344a48"", ""size_bytes"": 49901}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p003_T40_1000ppm_fit,p003_T40_1000ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p003_T40_1000ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""498a624c39035b0348848339642360a7ce2b2f3fa9917418fa4686863d4fbe5b"", ""size_bytes"": 891}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p003_T40_1000ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""3245347b7e05496a7250cc969b5fd4eddd79accd17acd08b8c7f6cc6b1b53838"", ""size_bytes"": 572}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p003_T40_1000ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""bc2b03ea08e4aee88a92da187a24c7085334d2c7dde3f6bbc59e73418fb1cff4"", ""size_bytes"": 1206}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p003_T40_1000ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""9b787f6de917d3508b8511e9eea38419ab6224df08d7772b531f1bd9ad36227c"", ""size_bytes"": 502}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p003_T40_1000ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p003_T40_1000ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""b4098a72382c00f25b2689df09a385169d190ae2a261ab9f9a39d5eeb0187d5a"", ""size_bytes"": 50010}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p004_T30_0ppm_fit,p004_T30_0ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p004_T30_0ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""2b0c9992f2d03ccef194fe047bbac15aa9f84aa507725f72d59c213fa47876eb"", ""size_bytes"": 815}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p004_T30_0ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""b3f0a7f7216b0bb327c89edabba0112dae0f53e4f7e066bef4bb71bef8b1c41f"", ""size_bytes"": 566}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p004_T30_0ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""6fb1a3a92f1a482ad8060e4f0c5993e32fc437bcb27a8122e397a3eea9ca5cf4"", ""size_bytes"": 1200}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p004_T30_0ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""06554fea1aa002e0b9f84768a6cd2d4d99ddc773167bb5fe5d564d5117fc85fd"", ""size_bytes"": 484}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p004_T30_0ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p004_T30_0ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""d61baa3c7a7cc3a66c0dfbfaf71ca0b4a899fe1f96b908d3fa3f79a9ec77bcc8"", ""size_bytes"": 49662}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p005_T30_100ppm_fit,p005_T30_100ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p005_T30_100ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""38d235f489ec20c6912a1aacdf946e456e833c7e36294997ec04e7c30bcfb5e4"", ""size_bytes"": 891}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p005_T30_100ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""488664e60342ccbf5c7c260fc6df09b74274bda80091b002db69c52f6bfdebce"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p005_T30_100ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""08809af34cbb5e021919f7ac66a6964fd210261c898550612d0e7ac9b5a34a8a"", ""size_bytes"": 1206}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p005_T30_100ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""0f3e036d0150b9bf0a0c1b40e1d07f93d9b46589628899594d9ddb041a8f4b20"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p005_T30_100ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p005_T30_100ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""634e0a87c80eef0b3dd7e80cd07e463ab67f6a4595569fe618c89901a3767194"", ""size_bytes"": 49885}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p006_T30_200ppm_fit,p006_T30_200ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p006_T30_200ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""aeb97f2067f34353f875e93e29523ab48d8b410105b27181e23d2e52c938143c"", ""size_bytes"": 906}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p006_T30_200ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""7fe242c657cc72d35b13464c4b6500d4644ac678a9c85986f1690fef037cec48"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p006_T30_200ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""06548ff800794e8db21fae5f20dd99904734e176c7f327236b6e7b8ca8519500"", ""size_bytes"": 1204}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p006_T30_200ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""95cca7ba24f76f2696d2b9d37bae3ab8ee119db188c104a79cf51bdc426f8427"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p006_T30_200ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p006_T30_200ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""60bc8e7467407e985eec9595feef3af3c99b42793825dff0d4cc007c6a0eac3d"", ""size_bytes"": 49887}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p007_T30_300ppm_fit,p007_T30_300ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p007_T30_300ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""606669bdae6eaf0999ffa27628cf6a396e73d3b23cc4b8814dc8c570ca59c19e"", ""size_bytes"": 881}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p007_T30_300ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""b70a5144190743c920ff19f78e20b997698fb0c4f31e7c214c807adc58ed4cd8"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p007_T30_300ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""a1f99039d8dab4db43b06da671dd21c905738a47882039b6fcdff26aa1565a9c"", ""size_bytes"": 1206}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p007_T30_300ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""1657d7acc936a98bce8643ea7598551673b3f9cd8b765601036dd1f57cbf673b"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p007_T30_300ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p007_T30_300ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""0ff6cbb38ba40a8f25b3427dfbf2d2d479c2884a78b919ebd462ce33f44e82b6"", ""size_bytes"": 49904}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p008_T30_400ppm_fit,p008_T30_400ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p008_T30_400ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""e264d0f43845f4cb34bedfd94a6222b6036062cedeac403794c1ae8328718c8d"", ""size_bytes"": 907}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p008_T30_400ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""f3c34a6d15b93ac78b24da0edff36b38d106b0c96c6b42ab661a28820e02b41d"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p008_T30_400ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""17179eab00b2732310934e288a82d518e36ad9ad716f8e4d924ed064c83b630f"", ""size_bytes"": 1204}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p008_T30_400ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""b2d6a75d3d5a8c329017d63140b0d5e91f14b08b4f3e43a129c75552fd42e6ab"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p008_T30_400ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p008_T30_400ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""c347d8c604410c4b5db184b439e42a0942c13cf812bf182a3e564469a814b778"", ""size_bytes"": 49931}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p009_T30_500ppm_fit,p009_T30_500ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p009_T30_500ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""412bdd63eb99f5aaa4a11d055047a5533c5481da6325e49eb5469792177aa451"", ""size_bytes"": 873}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p009_T30_500ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""724d0ec1c21180c21f734b63ba1f4978ab8121ac190d5061bc2eaadc8db79457"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p009_T30_500ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""ab50d853930fa2be783a40d8effc8e75224b7323441d2f1dd727f57aedda2538"", ""size_bytes"": 1206}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p009_T30_500ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""3d6cc48a2136684baeab58782b97381e7ec7997577fc412ff7b50c15982b4a44"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p009_T30_500ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p009_T30_500ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""4a880a0d4269f3d67f771a73910bb9a7914840129fd890543bbf5bdd80d14fff"", ""size_bytes"": 49938}}",True,True,False,False,False,False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624,forbidden_0624_or_migration,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p010_T30_600ppm_fit,p010_T30_600ppm_fit,co2,forbidden_0624_or_migration,"[""0624_source_forbidden"", ""direct_source_forbidden""]",False,,,,True,True,True,True,6,"{""formal_open_flow_data_quality_by_analyzer.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p010_T30_600ppm_fit\\formal_open_flow_data_quality_by_analyzer.csv"", ""sha256"": ""a0564fb6e7eb76c7c58676fc044fd7923d08a0b17d3701ec100d430def9dd958"", ""size_bytes"": 908}, ""formal_open_flow_route_timing.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p010_T30_600ppm_fit\\formal_open_flow_route_timing.json"", ""sha256"": ""b30a8dc9633ab1b38ea8384afd0c0f07d20311ec06ae304f365225ca4ec713b0"", ""size_bytes"": 570}, ""formal_open_flow_sidecar_metadata.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p010_T30_600ppm_fit\\formal_open_flow_sidecar_metadata.json"", ""sha256"": ""271fde6662821bf219e5009e3e72a0314057867e167d328af19cf0f8bd1b0f18"", ""size_bytes"": 1204}, ""frame_quality_summary.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p010_T30_600ppm_fit\\frame_quality_summary.csv"", ""sha256"": ""3c53606d724a0267c87ea865ced6feacd6c0c8a90956c623e79e4ccdff1bb699"", ""size_bytes"": 496}, ""runtime_config_snapshot.json"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p010_T30_600ppm_fit\\runtime_config_snapshot.json"", ""sha256"": ""afdf7fa4ab01fe68bdc4c20a29b48eddc668ba3ebb7bb80935d699387c3a3000"", ""size_bytes"": 50343}, ""samples_machine_readable.csv"": {""path"": ""D:\\gas_calibrator\\_handoff\\v1_5_formal_route_real_20260624\\current6_20260624_r10_task_direct_continuous_nowrite\\co2\\p010_T30_600ppm_fit\\samples_machine_readable.csv"", ""sha256"": ""6b12390612d3294297103800dbf517af92695e15024f7eca723ec8ec04db042a"", ""size_bytes"": 49894}}",True,True,False,False,False,False
