point_id,component,temp_c,source_nominal_ppm,co2_group,sample_role,fit_eligible,verification_eligible,zero_gas_required,standard_role,certificate_required,pressure_mode,target_pressure_hpa,pressure_reference_required,pressure_channel_precheck_required,legacy_pressure_targets_excluded_hpa,purge_s,sample_count,analyzer_acquisition,runner,runner_args,physical_meaning,profile_id,algorithm_mode,route_index,temperature_segment,segment_order_index,point_role,historical_missing_point_semantics,source_point_key,do_not_modify_mature_runner,runner_integration_status,queue_source_contract
co2_T-20_0ppm_ambient,co2,-20.0,0.0,A,fit,True,False,True,zero_air,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -20 --co2-source-ppm 0 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,1,-20C,1,profile_base_formal_point,base_profile_formal_point,-20/0,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-20_400ppm_ambient,co2,-20.0,400.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -20 --co2-source-ppm 400 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,2,-20C,2,profile_base_formal_point,base_profile_formal_point,-20/400,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-20_600ppm_ambient,co2,-20.0,600.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -20 --co2-source-ppm 600 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,3,-20C,3,new_algorithm_required_supplemental_formal_point,formal_required_point_not_historical_resampling,-20/600,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-20_1000ppm_ambient,co2,-20.0,1000.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -20 --co2-source-ppm 1000 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,4,-20C,4,profile_base_formal_point,base_profile_formal_point,-20/1000,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-10_0ppm_ambient,co2,-10.0,0.0,A,fit,True,False,True,zero_air,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -10 --co2-source-ppm 0 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,5,-10C,1,profile_base_formal_point,base_profile_formal_point,-10/0,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-10_400ppm_ambient,co2,-10.0,400.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -10 --co2-source-ppm 400 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,6,-10C,2,profile_base_formal_point,base_profile_formal_point,-10/400,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-10_600ppm_ambient,co2,-10.0,600.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -10 --co2-source-ppm 600 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,7,-10C,3,new_algorithm_required_supplemental_formal_point,formal_required_point_not_historical_resampling,-10/600,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T-10_1000ppm_ambient,co2,-10.0,1000.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,550",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp -10 --co2-source-ppm 1000 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,8,-10C,4,profile_base_formal_point,base_profile_formal_point,-10/1000,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T0_0ppm_ambient,co2,0.0,0.0,A,fit,True,False,True,zero_air,True,ambient_open,,True,True,"1100,800,500",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp 0 --co2-source-ppm 0 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,9,0C,1,profile_base_formal_point,base_profile_formal_point,0/0,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
co2_T0_400ppm_ambient,co2,0.0,400.0,A,fit,True,False,False,co2_standard_gas,True,ambient_open,,True,True,"1100,800,500",360.0,10,active_stream_1hz,run_v1_5_formal_open_flow_sampling,--temp 0 --co2-source-ppm 400 --co2-group A --purge-s 360 --sample-count 10 --analyzer-acquisition active_stream_1hz,"Open-flow CO2 formal runlist preview: standard gas continuously refreshes the analyzer cells; pressure is evidence after independent pressure-channel verification, not a sealed pressure fitting target.",absorption_ratio_shadow,absorption_ratio_A,10,0C,2,profile_base_formal_point,base_profile_formal_point,0/400,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
