point_id,component,temp_c,hgen_temp_c,hgen_rh_pct,reference_dewpoint_c,reference_h2o_mmol,reference_bridge_status,sample_role,fit_eligible,verification_eligible,standard_role,certificate_required,pressure_mode,target_pressure_hpa,pressure_reference_required,pressure_channel_precheck_required,legacy_pressure_targets_excluded_hpa,purge_s,sample_count,analyzer_acquisition,runner,runner_args,physical_meaning,profile_id,algorithm_mode,route_index,temperature_segment,segment_order_index,point_role,historical_missing_point_semantics,source_point_key,do_not_modify_mature_runner,runner_integration_status,queue_source_contract
h2o_T0_HGEN0C_50RH_ambient,h2o,0.0,0.0,50.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,800,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 0 --hgen-temp 0 --hgen-rh 50 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,1,0C,1,profile_base_formal_point,base_profile_formal_point,0/0/50,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T10_HGEN10C_30RH_ambient,h2o,10.0,10.0,30.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,1100,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 10 --hgen-temp 10 --hgen-rh 30 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,2,10C,1,profile_base_formal_point,base_profile_formal_point,10/10/30,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T10_HGEN10C_50RH_ambient,h2o,10.0,10.0,50.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,800,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 10 --hgen-temp 10 --hgen-rh 50 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,3,10C,2,profile_base_formal_point,base_profile_formal_point,10/10/50,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T10_HGEN10C_70RH_ambient,h2o,10.0,10.0,70.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,500,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 10 --hgen-temp 10 --hgen-rh 70 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,4,10C,3,profile_base_formal_point,base_profile_formal_point,10/10/70,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T20_HGEN20C_30RH_ambient,h2o,20.0,20.0,30.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,1100,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 20 --hgen-temp 20 --hgen-rh 30 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,5,20C,1,profile_base_formal_point,base_profile_formal_point,20/20/30,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T20_HGEN20C_50RH_ambient,h2o,20.0,20.0,50.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,800,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 20 --hgen-temp 20 --hgen-rh 50 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,6,20C,2,profile_base_formal_point,base_profile_formal_point,20/20/50,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T20_HGEN20C_70RH_ambient,h2o,20.0,20.0,70.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,500,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 20 --hgen-temp 20 --hgen-rh 70 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,7,20C,3,profile_base_formal_point,base_profile_formal_point,20/20/70,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T30_HGEN20C_30RH_ambient,h2o,30.0,20.0,30.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,1100,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 30 --hgen-temp 20 --hgen-rh 30 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,8,30C,1,profile_base_formal_point,base_profile_formal_point,30/20/30,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T30_HGEN20C_50RH_ambient,h2o,30.0,20.0,50.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,800,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 30 --hgen-temp 20 --hgen-rh 50 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,9,30C,2,profile_base_formal_point,base_profile_formal_point,30/20/50,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
h2o_T30_HGEN20C_70RH_ambient,h2o,30.0,20.0,70.0,,,requires_humidity_reference_bridge_before_fit_or_release,fit,True,False,humidity_generator_dewpoint_reference,True,ambient_open,,True,True,500,720.0,10,active_stream_1hz,run_v1_5_formal_h2o_open_flow_sampling,--temp 30 --hgen-temp 20 --hgen-rh 70 --purge-s 720 --sample-count 10 --analyzer-acquisition active_stream_1hz --h2o-pressure-presample-policy skip,"Open-flow H2O formal runlist preview: humidified gas continuously refreshes the chain and dewpoint/reference water is the fit quantity; pressure is evidence for compensation, not a sealed target.",absorption_ratio_shadow,absorption_ratio_A,10,30C,3,profile_base_formal_point,base_profile_formal_point,30/20/70,True,profile_generated_mature_queue_input,generated_from_reviewed_profile_only
