point_dir,artifact_role,artifact_path,size_bytes,sha256
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,samples,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\samples_machine_readable.csv,137460,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,frame_qc,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\frame_quality_summary.csv,505,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,runtime_config,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\runtime_config_snapshot.json,37011,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,sidecar,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\formal_open_flow_sidecar_metadata.json,1240,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,route_timing,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1\formal_open_flow_route_timing.json,578,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,samples,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\samples_machine_readable.csv,137618,26e2a7714e526dd76e65749a3151f1d95ddd9780cc8ad7d9c6a37aef9971e7c8
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,frame_qc,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\frame_quality_summary.csv,511,005d1e8d98dc69beb90ceec6e82409e053e097bb2f702c39b5acb93734423462
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,runtime_config,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\runtime_config_snapshot.json,37013,7514bba4fecf4e17a8823455dfc2473e5fa4a6c763fb2e1ffa6c5a605410098e
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,sidecar,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\formal_open_flow_sidecar_metadata.json,1235,43f9d3c3ef2e0d07b7cef7e160566ab4d657e4409d07c32f82e8985fca295ab3
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,route_timing,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit\formal_open_flow_route_timing.json,573,faaa2c0d5df3efdac8a1b50ec22e19d02e57bd37c51bb39cc777139a8db17162
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,samples,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\samples_machine_readable.csv,137251,c045763fcc4f1baaf24d73b0975415cfe30f47b3d18b37b824b41c465d38d15a
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,frame_qc,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\frame_quality_summary.csv,493,994b374ecc13334ad13a0d1ea6b8e9f58e62dce139155cb926fce92b79351102
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,runtime_config,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\runtime_config_snapshot.json,36943,e4e15efcc18c6347ccf885ebd7bef6343825a6f2c1802dd62aad6a7b8c704236
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,sidecar,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\formal_open_flow_sidecar_metadata.json,1200,ed2c5221f108aadf8ab56c1b5c07510a1aab26dae1723cec6d6a90e8373a1fc4
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,route_timing,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit\formal_open_flow_route_timing.json,566,13c891390adc165d91a093f7fe6ddc138e719f728085d16030b757a688409090
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,samples,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\samples_machine_readable.csv,137326,61cc7d4e32f1534097fb6825fb56c03a464f2da7b841f81a0550b3c245d7b222
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,frame_qc,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\frame_quality_summary.csv,505,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,runtime_config,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\runtime_config_snapshot.json,36943,e4e15efcc18c6347ccf885ebd7bef6343825a6f2c1802dd62aad6a7b8c704236
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,sidecar,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\formal_open_flow_sidecar_metadata.json,1211,9e1129d065e71360ce0de79957d22c8eaa2c745226c65d8b7fcc5919eea278d1
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,route_timing,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1\formal_open_flow_route_timing.json,577,e5a635f727c155e46ee3091a29f60c34ff365888452aca09c84eb9c89cea3b84
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,samples,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\samples_machine_readable.csv,137403,685e4dd8afd87f82c6851f0021ccce92d7a9bcfeebe08a5094b7e7a855fd09f8
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,frame_qc,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\frame_quality_summary.csv,511,005d1e8d98dc69beb90ceec6e82409e053e097bb2f702c39b5acb93734423462
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,runtime_config,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\runtime_config_snapshot.json,36943,e4e15efcc18c6347ccf885ebd7bef6343825a6f2c1802dd62aad6a7b8c704236
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,sidecar,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\formal_open_flow_sidecar_metadata.json,1206,d33ee57d8d359167e0c99ab04d5ef74963b77d46dd8f96de259d54679ae9acee
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,route_timing,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit\formal_open_flow_route_timing.json,572,d147b5f840be6066a8b70581679f6f62f0b7ab4a46e99319f368ae9b4619944b
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,samples,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit\samples_machine_readable.csv,134812,d8f814232a2d5060d7eab374d352a8dad48267870dc96949aeeecef5611a0daa
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,frame_qc,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit\frame_quality_summary.csv,487,87a55b287a0e9566600fe888f3cef9351df64c20d2aed38a9cc7abd8d6d3c8c1
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,runtime_config,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit\runtime_config_snapshot.json,36955,f273af1878d43ebc461a6e90b726e6dc18e04d53c5eabaa2320200a66ce7fdbe
