component,point_name,point_dir,target_value,anchor_role,analyzer_prefix,analyzer_device_id,component_qc_grade,accepted_composite_member,physical_decision,supersede_reason,calibration_fit_allowed,diagnostic_model_allowed,reason
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,ga01,001,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,ga02,002,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,ga03,010,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,ga04,076,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,ga05,005,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,ga06,090,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,ga01,001,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,ga02,002,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,ga03,010,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,ga04,076,A_calibration_eligible,True,diagnostic_only_no_continuous_route_attestation,accepted_composite_selection_is_diagnostic_only,False,True,within_production_contract
