component,point_name,point_dir,target_value,anchor_role,accepted_composite_member,label,prefix,analyzer_device_id,grade,ratio_key,ratio_span,ratio_a_tol,ratio_hard_tol,frame_count,usable_ratio_count,required_sample_count,timestamp_count,required_timestamp_count,timestamp_parse_complete,timestamps_strictly_increasing,expected_sample_interval_s,expected_window_duration_s,minimum_window_duration_s,actual_window_duration_s,minimum_observed_interval_s,maximum_observed_interval_s,temporal_window_complete,cadence_warning,temporal_reason_codes,reason,sample_can_enter_calibration_fit,sample_can_enter_diagnostic_model,evidence_run_id,evidence_identity_status,evidence_identity_mode,evidence_identity_reason_codes,evidence_sample_run_ids,evidence_sidecar_run_id,evidence_route_timing_run_id,evidence_runtime_run_id,evidence_claim_run_id,evidence_bundle_sha256,evidence_bundle_member_count,evidence_bundle_manifest_verified,not_real_acceptance_evidence,reference_source_status,reference_source_record_present,reference_source_record_valid,reference_source_reason_codes,reference_asset_id,reference_value_source,reference_source_sha256,source_frame_qc_sha256,source_route_timing_sha256,source_runtime_config_sha256,source_samples_sha256,source_sidecar_sha256,contract_sha256,source_reference_source_sha256,source_hgen_flow_set_sha256,source_humidity_reference_review_sha256,source_point_timing_summary_sha256
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,True,GA01,ga01,001,A_calibration_eligible,ga01_co2_ratio_f,0.0,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.986999989,1.013999939,True,False,[],within_production_contract,True,True,p019_Tm20_400ppm_fit_retry1,pass,legacy_run_id_consensus,[],['p019_Tm20_400ppm_fit_retry1'],p019_Tm20_400ppm_fit_retry1,p019_Tm20_400ppm_fit_retry1,,,86b21d29004e494443463537c569494bb986b2709db1a73c8a8cc4a042d0f032,5,False,True,legacy_not_recorded,False,False,[],,,,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,True,GA02,ga02,002,A_calibration_eligible,ga02_co2_ratio_f,0.0001,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.986999989,1.013999939,True,False,[],within_production_contract,True,True,p019_Tm20_400ppm_fit_retry1,pass,legacy_run_id_consensus,[],['p019_Tm20_400ppm_fit_retry1'],p019_Tm20_400ppm_fit_retry1,p019_Tm20_400ppm_fit_retry1,,,86b21d29004e494443463537c569494bb986b2709db1a73c8a8cc4a042d0f032,5,False,True,legacy_not_recorded,False,False,[],,,,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,True,GA03,ga03,010,A_calibration_eligible,ga03_co2_ratio_f,0.0,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.986999989,1.013999939,True,False,[],within_production_contract,True,True,p019_Tm20_400ppm_fit_retry1,pass,legacy_run_id_consensus,[],['p019_Tm20_400ppm_fit_retry1'],p019_Tm20_400ppm_fit_retry1,p019_Tm20_400ppm_fit_retry1,,,86b21d29004e494443463537c569494bb986b2709db1a73c8a8cc4a042d0f032,5,False,True,legacy_not_recorded,False,False,[],,,,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,True,GA04,ga04,076,A_calibration_eligible,ga04_co2_ratio_f,0.0,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.986999989,1.013999939,True,False,[],within_production_contract,True,True,p019_Tm20_400ppm_fit_retry1,pass,legacy_run_id_consensus,[],['p019_Tm20_400ppm_fit_retry1'],p019_Tm20_400ppm_fit_retry1,p019_Tm20_400ppm_fit_retry1,,,86b21d29004e494443463537c569494bb986b2709db1a73c8a8cc4a042d0f032,5,False,True,legacy_not_recorded,False,False,[],,,,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,True,GA05,ga05,005,A_calibration_eligible,ga05_co2_ratio_f,0.0001,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.986999989,1.013999939,True,False,[],within_production_contract,True,True,p019_Tm20_400ppm_fit_retry1,pass,legacy_run_id_consensus,[],['p019_Tm20_400ppm_fit_retry1'],p019_Tm20_400ppm_fit_retry1,p019_Tm20_400ppm_fit_retry1,,,86b21d29004e494443463537c569494bb986b2709db1a73c8a8cc4a042d0f032,5,False,True,legacy_not_recorded,False,False,[],,,,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,400.0,co2_standard_nonzero_point,True,GA06,ga06,090,A_calibration_eligible,ga06_co2_ratio_f,0.0001,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.986999989,1.013999939,True,False,[],within_production_contract,True,True,p019_Tm20_400ppm_fit_retry1,pass,legacy_run_id_consensus,[],['p019_Tm20_400ppm_fit_retry1'],p019_Tm20_400ppm_fit_retry1,p019_Tm20_400ppm_fit_retry1,,,86b21d29004e494443463537c569494bb986b2709db1a73c8a8cc4a042d0f032,5,False,True,legacy_not_recorded,False,False,[],,,,d0550a50569ce55c7b17852f7a00b9e589c58e409d97c62a16af83ce980378a6,8adbaaeab0b73a05b91933964f8a2d0bcd27dc03847f1d51a6f7dec34a4bb419,1a5dec0730146401926b452c4cc320a5217854ca14038b3de59e63c48eeaf1bb,06efd8884caf17ed78da369f3ba3a771206cddf3facf742c88f95c8e5bcef7e4,c9d4c59b1f6a74428a63e04bff42a481a36ebf650ce6d858477fab267647a76c,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,True,GA01,ga01,001,A_calibration_eligible,ga01_co2_ratio_f,0.0001,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.993000031,1.008000135,True,False,[],within_production_contract,True,True,p020_Tm20_1000ppm_fit,pass,legacy_run_id_consensus,[],['p020_Tm20_1000ppm_fit'],p020_Tm20_1000ppm_fit,p020_Tm20_1000ppm_fit,,,1fa44664350175ee434ad563e075cae499713b8a459bb81cad451896654bcaa4,5,False,True,legacy_not_recorded,False,False,[],,,,005d1e8d98dc69beb90ceec6e82409e053e097bb2f702c39b5acb93734423462,faaa2c0d5df3efdac8a1b50ec22e19d02e57bd37c51bb39cc777139a8db17162,7514bba4fecf4e17a8823455dfc2473e5fa4a6c763fb2e1ffa6c5a605410098e,26e2a7714e526dd76e65749a3151f1d95ddd9780cc8ad7d9c6a37aef9971e7c8,43f9d3c3ef2e0d07b7cef7e160566ab4d657e4409d07c32f82e8985fca295ab3,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,True,GA02,ga02,002,A_calibration_eligible,ga02_co2_ratio_f,0.0,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.993000031,1.008000135,True,False,[],within_production_contract,True,True,p020_Tm20_1000ppm_fit,pass,legacy_run_id_consensus,[],['p020_Tm20_1000ppm_fit'],p020_Tm20_1000ppm_fit,p020_Tm20_1000ppm_fit,,,1fa44664350175ee434ad563e075cae499713b8a459bb81cad451896654bcaa4,5,False,True,legacy_not_recorded,False,False,[],,,,005d1e8d98dc69beb90ceec6e82409e053e097bb2f702c39b5acb93734423462,faaa2c0d5df3efdac8a1b50ec22e19d02e57bd37c51bb39cc777139a8db17162,7514bba4fecf4e17a8823455dfc2473e5fa4a6c763fb2e1ffa6c5a605410098e,26e2a7714e526dd76e65749a3151f1d95ddd9780cc8ad7d9c6a37aef9971e7c8,43f9d3c3ef2e0d07b7cef7e160566ab4d657e4409d07c32f82e8985fca295ab3,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,True,GA03,ga03,010,A_calibration_eligible,ga03_co2_ratio_f,0.0,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.993000031,1.008000135,True,False,[],within_production_contract,True,True,p020_Tm20_1000ppm_fit,pass,legacy_run_id_consensus,[],['p020_Tm20_1000ppm_fit'],p020_Tm20_1000ppm_fit,p020_Tm20_1000ppm_fit,,,1fa44664350175ee434ad563e075cae499713b8a459bb81cad451896654bcaa4,5,False,True,legacy_not_recorded,False,False,[],,,,005d1e8d98dc69beb90ceec6e82409e053e097bb2f702c39b5acb93734423462,faaa2c0d5df3efdac8a1b50ec22e19d02e57bd37c51bb39cc777139a8db17162,7514bba4fecf4e17a8823455dfc2473e5fa4a6c763fb2e1ffa6c5a605410098e,26e2a7714e526dd76e65749a3151f1d95ddd9780cc8ad7d9c6a37aef9971e7c8,43f9d3c3ef2e0d07b7cef7e160566ab4d657e4409d07c32f82e8985fca295ab3,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,1000.0,co2_standard_nonzero_point,True,GA04,ga04,076,A_calibration_eligible,ga04_co2_ratio_f,0.0,0.0005,0.001,10,10,10,10,10,True,True,1.0,9.0,8.1,9.000999928,0.993000031,1.008000135,True,False,[],within_production_contract,True,True,p020_Tm20_1000ppm_fit,pass,legacy_run_id_consensus,[],['p020_Tm20_1000ppm_fit'],p020_Tm20_1000ppm_fit,p020_Tm20_1000ppm_fit,,,1fa44664350175ee434ad563e075cae499713b8a459bb81cad451896654bcaa4,5,False,True,legacy_not_recorded,False,False,[],,,,005d1e8d98dc69beb90ceec6e82409e053e097bb2f702c39b5acb93734423462,faaa2c0d5df3efdac8a1b50ec22e19d02e57bd37c51bb39cc777139a8db17162,7514bba4fecf4e17a8823455dfc2473e5fa4a6c763fb2e1ffa6c5a605410098e,26e2a7714e526dd76e65749a3151f1d95ddd9780cc8ad7d9c6a37aef9971e7c8,43f9d3c3ef2e0d07b7cef7e160566ab4d657e4409d07c32f82e8985fca295ab3,a87ed84a0dbc1d7cb385d62947d3ada26b20ec8680207989109411c3eaa5bd06,,,,
