ts,elapsed_since_route_close_s,event_type,source,trace_stage,detail,pace_pressure_hpa,com22_pressure_hpa,dewpoint_c,duration_s,blocking_gate_or_function,required_by_v2_protected_path
2026-05-19T13:05:07.877,0.0,route_close_actual_ts,trace,route_valves_closed_after_vent0,route valves closed,1205.0878906,1201.851,,,,
2026-05-19T13:05:07.878,0.001,trace_stage,pressure_transition_trace,sealed_no_vent_guard_active,vent-exit wait complete; CO2 route valves closed,,,,,,
2026-05-19T13:05:08.001,0.124,dewpoint timeline,COM17 io_log,,dewpoint=-34.0C temp=30.85C rh=0.34%,,,-34.0,,,
2026-05-19T13:05:08.945,1.068,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:05:08.945,1.068,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1207.5222168, 0",,,,,,
2026-05-19T13:05:10.018,2.141,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:05:10.019,2.142,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:11.097,3.22,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1211.5454102, 0",,,,,,
2026-05-19T13:05:11.099,3.222,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:05:12.164,4.287,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:05:12.165,4.288,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:13.240,5.363,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1210.2558594, 0",,,,,,
2026-05-19T13:05:13.243,5.366,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:05:14.335,6.458,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:05:14.338,6.461,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:15.412,7.535,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE?,,,,,,
2026-05-19T13:05:15.412,7.535,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1208.7587891, 0",,,,,,
2026-05-19T13:05:16.476,8.599,PACE RX,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:05:16.478,8.601,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:17.559,9.682,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1207.3283691, 0",,,,,,
2026-05-19T13:05:17.562,9.685,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:05:18.622,10.745,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:18.622,10.745,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:05:19.697,11.82,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1205.8055420, 0",,,,,,
2026-05-19T13:05:19.698,11.821,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:20.769,12.892,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1205.0878906, 0",,,,,,
2026-05-19T13:05:20.770,12.893,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:21.844,13.967,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1204.2995605, 0",,,,,,
2026-05-19T13:05:21.946,14.069,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:22.711,14.834,dewpoint timeline,COM17 io_log,,dewpoint=-33.11C temp=30.86C rh=0.0%,,,-33.11,,,
2026-05-19T13:05:23.034,15.157,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1203.5053711, 0",,,,,,
2026-05-19T13:05:23.035,15.158,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:05:24.098,16.221,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:05:24.099,16.222,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:25.172,17.295,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1202.1169434, 0",,,,,,
2026-05-19T13:05:25.173,17.296,STAT:OPER query,pace_raw_serial_tap,,:STAT:OPER:PRES:COND?,,,,,,
2026-05-19T13:05:25.469,17.592,dewpoint timeline,COM17 io_log,,dewpoint=-32.23C temp=30.86C rh=0.0%,,,-32.23,,,
2026-05-19T13:05:26.254,18.377,STAT:OPER result,pace_raw_serial_tap,,:STAT:OPER:PRES:COND 1,,,,,,
2026-05-19T13:05:26.255,18.378,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:27.329,19.452,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1200.6544189, 0",,,,,,
2026-05-19T13:05:27.332,19.455,STAT:OPER query,pace_raw_serial_tap,,:STAT:OPER:PRES:EVEN?,,,,,,
2026-05-19T13:05:28.220,20.343,dewpoint timeline,COM17 io_log,,dewpoint=-31.21C temp=30.86C rh=0.0%,,,-31.21,,,
2026-05-19T13:05:28.402,20.525,STAT:OPER result,pace_raw_serial_tap,,:STAT:OPER:PRES:EVEN 1,,,,,,
2026-05-19T13:05:28.403,20.526,status_evidence,pressure_transition_trace,pace_status_evidence:after_route_close,after route close; status evidence only,,,,,,
2026-05-19T13:05:28.406,20.529,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:29.479,21.602,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1199.2863770, 0",,,,,,
2026-05-19T13:05:29.482,21.605,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:05:30.538,22.661,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:05:30.541,22.664,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:30.589,22.712,dewpoint timeline,COM17 io_log,,dewpoint=-30.18C temp=30.86C rh=0.0%,,,-30.18,,,
2026-05-19T13:05:31.610,23.733,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1197.8519287, 0",,,,,,
2026-05-19T13:05:31.611,23.734,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:05:32.670,24.793,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:05:32.672,24.795,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:05:33.288,25.411,dewpoint timeline,COM17 io_log,,dewpoint=-29.16C temp=30.86C rh=0.0%,,,-29.16,,,
